Track #0, length 14
 53880104 (3663) module 51, x -30.9225, y  -7.89, z 750.469
 51785288 (3534) module 49, x -29.1625, y -7.395, z 705.469
 49690473 (3398) module 47, x -27.3475, y -6.9275, z 660.469
 47595658 (3255) module 45, x -25.5325, y -6.4325, z 615.469
 45504223 (3115) module 43, x -20.8575, y -5.2225, z 496.921
 43035173 (2975) module 41, x -17.1175, y -4.2775, z 402.473
 40934237 (2840) module 39, x -14.0375, y  -3.48, z 325.525
 38834059 (2708) module 37, x -11.5075, y  -2.82, z 263.531
 36735901 (2562) module 35, x -10.5175, y -2.5725, z 238.531
 34637487 (2421) module 33, x -9.5275, y -2.2975, z 213.531
 32539329 (2271) module 31, x  -8.51, y -2.0775, z 188.531
 30440916 (2115) module 29, x -7.4925, y -1.8025, z 163.531
 28342759 (1964) module 27, x -6.4475, y -1.5825, z 138.531
 26244346 (1819) module 25, x -5.4025, y -1.3075, z 113.531

Track #1, length 5
 53898070 (3668) module 51, x -28.3925, y -4.0675, z 750.469
 51801972 (3538) module 49, x -26.7242, y -3.81083, z 705.469
 49705875 (3401) module 47, x -25.0375, y -3.6275, z 660.469
 47609777 (3258) module 45, x -23.3875, y -3.4075, z 615.469
 45125378 (3117) module 43, x -19.0425, y -2.7925, z 497.982

Track #2, length 12
 53930875 (3670) module 51, x -26.3575, y 2.9725, z 750.469
 51832983 (3540) module 49, x -24.8175, y 2.8075, z 705.469
 49734836 (3403) module 47, x -23.2225, y  2.615, z 660.469
 47636945 (3260) module 45, x -21.6275, y 2.4225, z 615.469
 45103134 (3120) module 43, x -17.5025, y 1.9925, z 497.982
 43007835 (2978) module 41, x -14.1475, y 1.6075, z 402.473
 40912268 (2844) module 39, x -11.4525, y 1.2775, z 325.525
 38816180 (2715) module 37, x -9.2525, y 1.0575, z 263.531
 36719556 (2569) module 35, x -8.3725, y 0.9475, z 238.531
 34622932 (2428) module 33, x -7.4925, y 0.8375, z 213.531
 32526308 (2280) module 31, x -6.6125, y 0.7275, z 188.531
 30429428 (2125) module 29, x -5.7325, y  0.645, z 163.531

Track #3, length 12
 53802640 (3672) module 51, x -25.175, y -24.8025, z 750.469
 51711916 (3542) module 49, x -23.6625, y -23.29, z 705.469
 49621960 (3405) module 47, x -22.1225, y -21.7775, z 660.469
 47531747 (3262) module 45, x -20.6375, y -20.2925, z 615.469
 45188141 (3122) module 43, x -16.6775, y -16.3775, z 497.982
 43076200 (2981) module 41, x -13.4325, y -13.1875, z 402.473
 40967063 (2847) module 39, x -10.8475, y -10.6025, z 325.525
 38860988 (2716) module 37, x -8.8125, y -8.5675, z 263.531
 36760011 (2570) module 35, x  -7.96, y -7.7425, z 238.531
 34659035 (2429) module 33, x -7.1075, y -6.9175, z 213.531
 32558058 (2281) module 31, x -6.2825, y  -6.12, z 188.531
 30457337 (2126) module 29, x -5.4575, y -5.3225, z 163.531

Track #4, length 10
 54066031 (3675) module 51, x -23.5275, y 13.0475, z 750.469
 51975294 (3544) module 49, x -22.0425, y 12.2225, z 705.469
 49885069 (3407) module 47, x -20.5575, y 11.3975, z 660.469
 47794844 (3264) module 45, x -19.0725, y 10.5725, z 615.469
 45716164 (3126) module 43, x -15.1125, y 8.3725, z 496.921
 43633892 (2984) module 41, x -11.9225, y 6.6125, z 401.411
 41548542 (2850) module 39, x -9.3925, y 5.1825, z 324.463
 38802134 (2720) module 37, x -7.355, y 4.0825, z 263.531
 36707301 (2576) module 35, x  -6.53, y 3.5875, z 238.531
 34612213 (2437) module 33, x -5.6775, y 3.1475, z 213.531

Track #5, length 10
 54074394 (3677) module 51, x -21.6025, y 17.7225, z 750.469
 51983662 (3546) module 49, x -20.2092, y 16.6042, z 705.469
 49893187 (3409) module 47, x -18.7975, y 15.4675, z 660.469
 47802456 (3267) module 45, x -17.4225, y 14.3125, z 615.469
 45722254 (3131) module 43, x -13.7925, y 11.3425, z 496.921
 43638713 (2988) module 41, x -10.8775, y 8.9775, z 401.411
 41552092 (2855) module 39, x -8.5125, y 7.0525, z 324.463
 39463672 (2727) module 37, x -6.6425, y 5.5125, z 262.469
 36701168 (2582) module 35, x -5.9525, y 4.9075, z 238.531
 34606846 (2442) module 33, x -5.1825, y 4.3025, z 213.531

Track #6, length 11
 53908446 (3679) module 51, x -20.9125, y -1.8675, z 750.469
 51811828 (3548) module 49, x -19.675, y -1.7575, z 705.469
 49314316 (3411) module 47, x -18.465, y -1.6375, z 661.531
 47216675 (3268) module 45, x -17.2275, y -1.5275, z 616.531
 45118302 (3130) module 43, x -13.9825, y -1.2525, z 497.982
 43020431 (2986) module 41, x -11.2875, y -1.0875, z 402.473
 40922294 (2851) module 39, x -9.12417, y -0.904167, z 325.525
 38824406 (2719) module 37, x -7.3825, y -0.739167, z 263.531
 36727011 (2574) module 35, x -6.6675, y -0.684166, z 238.531
 34629617 (2435) module 33, x -5.8975, y -0.5925, z 213.531
 32532222 (2288) module 31, x -5.1825, y -0.5375, z 188.531

Track #7, length 11
 54378636 (3681) module 51, x -19.6775, y 25.4225, z 751.531
 52275626 (3550) module 49, x -18.44, y 23.7725, z 706.531
 50173127 (3413) module 47, x -17.2575, y 22.1775, z 661.531
 48070372 (3270) module 45, x -16.0475, y 20.5825, z 616.531
 45727282 (3134) module 43, x -12.6925, y 16.4025, z 496.921
 43642224 (2992) module 41, x -10.1075, y 12.965, z 401.411
 41554593 (2858) module 39, x -7.9625, y  10.27, z 324.463
 39465419 (2730) module 37, x -6.2575, y 7.9875, z 262.469
 37371612 (2584) module 35, x -5.5425, y 7.0525, z 237.469
 35277549 (2444) module 33, x -4.855, y 6.1175, z 212.469
 33183741 (2290) module 31, x -4.1675, y   5.21, z 187.469

Track #8, length 14
 53671938 (3682) module 51, x -19.0425, y -36.975, z 751.531
 51564567 (3552) module 49, x -17.8875, y -34.7475, z 706.531
 49457195 (3415) module 47, x -16.76, y -32.5475, z 661.531
 47349568 (3272) module 45, x -15.6325, y -30.32, z 616.531
 45225334 (3135) module 43, x -12.6625, y -24.4625, z 497.982
 43106722 (2991) module 41, x -10.2425, y -19.76, z 402.473
 40992197 (2856) module 39, x  -8.29, y -15.9925, z 325.525
 38880738 (2726) module 37, x -6.7225, y -12.9125, z 263.531
 36777966 (2579) module 35, x -6.0625, y -11.7025, z 238.531
 34675193 (2439) module 33, x  -5.43, y -10.4925, z 213.531
 34275241 (2308) module 32, x -5.0725, y  -9.83, z 200.469
 32175296 (2143) module 30, x -4.4675, y -8.5925, z 175.469
 30075094 (1992) module 28, x -3.8075, y -7.3825, z 150.469
 27975148 (1839) module 26, x -3.2025, y -6.145, z 125.469

Track #9, length 6
 54096855 (3687) module 51, x -16.8175, y 7.3275, z 750.469
 52003297 (3555) module 49, x -16.02, y 6.7775, z 705.469
 49910507 (3418) module 47, x -15.1125, y 6.2275, z 660.469
 47817975 (3275) module 45, x -14.1225, y 5.5675, z 615.469
 45094033 (3138) module 43, x -11.1775, y 3.9725, z 497.982
 43001530 (2995) module 41, x -8.9225, y 2.9825, z 402.473

Track #10, length 9
 53550910 (3688) module 51, x -15.7058, y -10.8408, z 751.531
 51450959 (3557) module 49, x -14.8075, y -10.2175, z 706.531
 49350752 (3420) module 47, x -13.8725, y -9.5575, z 661.531
 47251313 (3277) module 45, x -12.9375, y  -8.98, z 616.531
 45146269 (3140) module 43, x -10.5175, y -7.2475, z 497.982
 43043009 (2997) module 41, x -8.5375, y -5.9275, z 402.473
 40940765 (2861) module 39, x  -6.97, y -4.8275, z 325.525
 38839541 (2732) module 37, x -5.6775, y -3.9475, z 263.531
 36740862 (2585) module 35, x -5.1825, y -3.6175, z 238.531

Track #11, length 7
 53541238 (3692) module 51, x -12.6625, y -8.6225, z 751.531
 51441796 (3561) module 49, x -11.8925, y -8.1275, z 706.531
 49342098 (3423) module 47, x -11.1225, y -7.5775, z 661.531
 47242655 (3280) module 45, x -10.4075, y -7.0825, z 616.531
 45139139 (3144) module 43, x   -8.4, y -5.7075, z 497.982
 43036897 (3001) module 41, x -6.7775, y -4.635, z 402.473
 40935929 (2866) module 39, x -5.4575, y -3.7825, z 325.525

Track #12, length 7
 53500795 (3693) module 51, x -12.3875, y 0.0675001, z 751.531
 51403657 (3563) module 49, x -11.6175, y 0.0675001, z 706.531
 49306518 (3425) module 47, x -10.9025, y   0.04, z 661.531
 47209635 (3281) module 45, x -10.1875, y 0.0124998, z 616.531
 45112518 (3146) module 43, x -8.2625, y 0.0124998, z 497.982
 43015394 (3002) module 41, x -6.7225, y 0.0124998, z 402.473
 40918265 (2865) module 39, x -5.4575, y 0.0124998, z 325.525

Track #13, length 5
 54121276 (3694) module 51, x -11.5375, y 15.8342, z 750.469
 52027471 (3564) module 49, x -10.795, y 14.8075, z 705.469
 49933922 (3427) module 47, x -10.0525, y 13.7625, z 660.469
 47840372 (3287) module 45, x -9.2825, y 12.7725, z 615.469
 45751460 (3150) module 43, x -7.4125, y 10.105, z 496.921

Track #14, length 6
 53539472 (3696) module 51, x -11.2325, y -8.2375, z 751.531
 51440027 (3566) module 49, x  -10.6, y -7.7425, z 706.531
 49340839 (3429) module 47, x -9.9675, y -7.3025, z 661.531
 47241395 (3286) module 45, x -9.3075, y -6.8075, z 616.531
 45138386 (3149) module 43, x -7.6025, y  -5.57, z 497.982
 43036651 (3004) module 41, x -6.2275, y -4.5525, z 402.473

Track #15, length 6
 53509034 (3699) module 51, x -9.8025, y  -1.72, z 751.531
 51411637 (3569) module 49, x -9.1975, y -1.6375, z 706.531
 49313984 (3433) module 47, x -8.5925, y -1.5275, z 661.531
 47216331 (3291) module 45, x -7.9875, y -1.445, z 616.531
 45118183 (3154) module 43, x -6.4475, y -1.1975, z 497.982
 43020030 (3010) module 41, x -5.155, y -0.9775, z 402.473

Track #16, length 5
 53542848 (3701) module 51, x -8.5925, y  -8.98, z 751.531
 51443402 (3572) module 49, x -8.0425, y -8.4575, z 706.531
 49343699 (3436) module 47, x -7.5475, y -7.9075, z 661.531
 47243996 (3293) module 45, x -7.0525, y -7.3575, z 616.531
 45140213 (3156) module 43, x -5.6775, y -5.9275, z 497.982

Track #17, length 4
 53525198 (3705) module 51, x -7.8225, y -5.185, z 751.531
 51426520 (3575) module 49, x -7.2725, y -4.8275, z 706.531
 49327842 (3439) module 47, x -6.7225, y -4.4975, z 661.531
 47229164 (3297) module 45, x -6.1725, y -4.1675, z 616.531

Track #18, length 5
 53543895 (3708) module 51, x -7.3275, y -9.2825, z 751.531
 51444703 (3578) module 49, x -6.8875, y -8.7325, z 706.531
 49344999 (3441) module 47, x -6.4475, y -8.1825, z 661.531
 47245295 (3298) module 45, x -6.0075, y -7.6325, z 616.531
 44759534 (3039) module 42, x -4.7425, y -6.0625, z 484.921

Track #19, length 4
 53479648 (3711) module 51, x -6.8325, y 4.6325, z 751.531
 51383783 (3580) module 49, x -6.4475, y 4.3575, z 706.531
 49287918 (3443) module 47, x -6.0625, y 4.0825, z 661.531
 47191798 (3301) module 45, x -5.6225, y  3.835, z 616.531

Track #20, length 7
 54149992 (3718) module 51, x -5.2675, y 13.405, z 750.469
 52054390 (3585) module 49, x -4.9375, y 12.635, z 705.469
 49958532 (3447) module 47, x -4.6625, y 11.865, z 660.469
 47862675 (3303) module 45, x  -4.36, y 11.0675, z 615.469
 45769400 (3161) module 43, x -3.5625, y 9.0325, z 496.921
 43675093 (3013) module 41, x  -2.93, y   7.41, z 401.411
 41580526 (2873) module 39, x -2.4075, y 6.0625, z 324.463

Track #21, length 10
 54155027 (3720) module 51, x -4.1675, y 18.1075, z 750.469
 52059174 (3588) module 49, x -3.8925, y 17.0625, z 705.469
 49963065 (3450) module 47, x -3.6725, y 16.0175, z 660.469
 47866956 (3305) module 45, x -3.4525, y 14.9725, z 615.469
 45772926 (3163) module 43, x -2.7925, y 12.2225, z 496.921
 43678119 (3015) module 41, x -2.2975, y 9.9675, z 401.411
 41583047 (2874) module 39, x -1.8575, y 8.2075, z 324.463
 39487457 (2739) module 37, x -1.5275, y   6.75, z 262.469
 37390828 (2592) module 35, x -1.4175, y 6.1725, z 237.469
 35294199 (2450) module 33, x  -1.28, y 5.5675, z 212.469

Track #22, length 9
 54157637 (3722) module 51, x -3.6175, y 15.3575, z 750.469
 52061268 (3589) module 49, x -3.4525, y 14.505, z 705.469
 49965156 (3451) module 47, x -3.2325, y 13.625, z 660.469
 47868788 (3307) module 45, x -3.0675, y 12.745, z 615.469
 45773983 (3164) module 43, x -2.5725, y 10.4075, z 496.921
 43678913 (3016) module 41, x -2.105, y   8.51, z 401.411
 41583581 (2876) module 39, x -1.7475, y 6.9975, z 324.463
 39487988 (2741) module 37, x -1.4175, y 5.7325, z 262.469
 37391357 (2593) module 35, x -1.3075, y 5.2375, z 237.469

Track #23, length 7
 54160766 (3724) module 51, x -2.9575, y 12.2225, z 750.469
 52064394 (3591) module 49, x -2.765, y 11.535, z 705.469
 49968279 (3453) module 47, x -2.5725, y  10.82, z 660.469
 47871908 (3309) module 45, x -2.4075, y 10.1325, z 615.469
 45776838 (3166) module 43, x -1.9675, y 8.2625, z 496.921
 43681250 (3017) module 41, x -1.6375, y 6.7225, z 401.411
 41585656 (2880) module 39, x -1.3075, y 5.5125, z 324.463

Track #24, length 5
 54164662 (3725) module 51, x -2.1325, y 9.1425, z 750.469
 52068032 (3593) module 49, x -2.0225, y 8.5925, z 705.469
 49971402 (3455) module 47, x -1.9125, y 8.0425, z 660.469
 47874771 (3311) module 45, x -1.8025, y 7.5475, z 615.469
 45779181 (3167) module 43, x -1.4725, y 6.1175, z 496.921

Track #25, length 14
 53810205 (3662) module 51, x -31.5275, y -23.0425, z 750.469
 51719486 (3533) module 49, x -29.685, y -21.6675, z 705.469
 49628768 (3397) module 47, x -27.8425, y -20.2925, z 660.469
 47538050 (3254) module 45, x -25.9725, y -18.9175, z 615.469
 45457627 (3114) module 43, x -21.0775, y -15.3425, z 496.921
 43073060 (2974) module 41, x -17.145, y -12.5275, z 402.473
 40965214 (2841) module 39, x -13.955, y -10.2175, z 325.525
 38859917 (2709) module 37, x -11.3975, y -8.3475, z 263.531
 36759200 (2563) module 35, x -10.3525, y -7.5775, z 238.531
 34658739 (2422) module 33, x -9.3075, y -6.8625, z 213.531
 32558022 (2274) module 31, x -8.2625, y -6.0925, z 188.531
 30457304 (2116) module 29, x -7.245, y -5.3225, z 163.531
 28356843 (1965) module 27, x -6.2275, y -4.6075, z 138.531
 26256125 (1820) module 25, x  -5.21, y -3.8375, z 113.531

Track #26, length 13
 53811497 (3664) module 51, x -30.84, y -22.7675, z 750.469
 51720779 (3535) module 49, x -28.97, y -21.3925, z 705.469
 49630061 (3399) module 47, x  -27.1, y -20.0175, z 660.469
 47539344 (3256) module 45, x -25.2025, y -18.615, z 615.469
 45459433 (3116) module 43, x -20.3075, y -14.9575, z 496.921
 43070771 (2976) module 41, x -16.3475, y -12.0325, z 402.473
 40962669 (2843) module 39, x -13.1575, y -9.6675, z 325.525
 38857116 (2712) module 37, x -10.5725, y -7.7425, z 263.531
 36756399 (2566) module 35, x -9.5275, y -6.9725, z 238.531
 34655682 (2424) module 33, x -8.4825, y -6.2025, z 213.531
 32554965 (2276) module 31, x -7.4375, y -5.4325, z 188.531
 30454247 (2121) module 29, x  -6.42, y -4.6625, z 163.531
 28353530 (1974) module 27, x -5.375, y -3.8925, z 138.531

Track #27, length 11
 53834595 (3669) module 51, x -27.65, y -17.8175, z 750.469
 51742596 (3539) module 49, x -25.8625, y -16.7175, z 705.469
 49650597 (3402) module 47, x -24.0475, y -15.6175, z 660.469
 47558597 (3259) module 45, x -22.2875, y -14.5175, z 615.469
 45165595 (3119) module 43, x -17.6675, y -11.5375, z 497.982
 43057502 (2979) module 41, x -13.955, y -9.1725, z 402.473
 40951957 (2846) module 39, x -10.9575, y -7.2475, z 325.525
 38847681 (2717) module 37, x -8.5375, y -5.7075, z 263.531
 36747475 (2571) module 35, x -7.5475, y -5.0475, z 238.531
 34647524 (2430) module 33, x -6.6125, y -4.4425, z 213.531
 32547318 (2282) module 31, x -5.6225, y  -3.81, z 188.531

Track #28, length 13
 53834124 (3671) module 51, x -25.4225, y -17.9275, z 750.469
 51741863 (3541) module 49, x -23.9375, y -16.8825, z 705.469
 49649602 (3404) module 47, x -22.425, y -15.8375, z 660.469
 47557341 (3261) module 45, x -20.94, y -14.7925, z 615.469
 45167910 (3121) module 43, x -17.0625, y -12.0325, z 497.982
 43060319 (2980) module 41, x  -13.9, y -9.7775, z 402.473
 40955278 (2845) module 39, x -11.3425, y -7.9625, z 325.525
 38851507 (2714) module 37, x -9.3075, y -6.5325, z 263.531
 36751810 (2568) module 35, x -8.455, y -5.9825, z 238.531
 34651857 (2427) module 33, x  -7.63, y -5.3775, z 213.531
 32551905 (2279) module 31, x -6.7775, y   -4.8, z 188.531
 30452208 (2124) module 29, x -5.9525, y -4.2225, z 163.531
 28352255 (1975) module 27, x -5.1275, y -3.6175, z 138.531

Track #29, length 10
 53812374 (3673) module 51, x -24.8725, y -22.575, z 750.469
 51722420 (3543) module 49, x -23.2225, y -21.0625, z 705.469
 49632210 (3406) module 47, x -21.5725, y -19.5775, z 660.469
 47542256 (3263) module 45, x -19.9225, y -18.0375, z 615.469
 45177407 (3124) module 43, x -15.6875, y -14.095, z 497.982
 43065469 (2982) module 41, x -12.25, y -10.8775, z 402.473
 40956848 (2849) module 39, x -9.4725, y -8.2925, z 325.525
 38850521 (2723) module 37, x -7.2175, y -6.3125, z 263.531
 36749546 (2578) module 35, x -6.2825, y -5.4875, z 238.531
 34648570 (2440) module 33, x -5.375, y  -4.69, z 213.531

Track #30, length 11
 53809864 (3676) module 51, x -22.1225, y -23.125, z 750.469
 51719392 (3545) module 49, x -20.8025, y -21.7225, z 705.469
 49628664 (3408) module 47, x -19.4825, y -20.3475, z 660.469
 47297554 (3265) module 45, x -18.1625, y -19.0175, z 616.531
 45183313 (3128) module 43, x -14.6975, y -15.3325, z 497.982
 43072644 (2985) module 41, x -11.8925, y -12.4175, z 402.473
 40964526 (2848) module 39, x -9.5825, y -10.0525, z 325.525
 38858959 (2718) module 37, x -7.7675, y -8.1275, z 263.531
 36758236 (2572) module 35, x -7.0525, y -7.3575, z 238.531
 34657514 (2431) module 33, x -6.2825, y -6.5875, z 213.531
 32556791 (2283) module 31, x -5.5675, y -5.8175, z 188.531

Track #31, length 11
 53907926 (3678) module 51, x -21.325, y -1.9775, z 750.469
 51811310 (3547) module 49, x -20.0325, y -1.8675, z 705.469
 49314823 (3410) module 47, x -18.7675, y -1.7475, z 661.531
 47217182 (3266) module 45, x -17.475, y -1.6375, z 616.531
 45118812 (3129) module 43, x -14.065, y -1.3625, z 497.982
 43020431 (2986) module 41, x -11.2875, y -1.0875, z 402.473
 40922294 (2851) module 39, x -9.12417, y -0.904167, z 325.525
 38824406 (2719) module 37, x -7.3825, y -0.739167, z 263.531
