Track #0, length 11
 54002774 (1350) module 51, x -37.1125, y 14.4225, z 750.469
 51916904 (1282) module 49, x -34.665, y 13.4325, z 705.469
 49831033 (1213) module 47, x -32.245, y 12.4975, z 660.469
 47745418 (1138) module 45, x -29.7975, y 11.5625, z 615.469
 45678008 (1070) module 43, x -23.39, y 9.0325, z 496.921
 43604700 (1009) module 41, x -18.1925, y  7.025, z 401.411
 41527033 (949) module 39, x -13.9942, y 5.43917, z 324.463
 38801818 (890) module 37, x -10.6825, y 4.1375, z 263.531
 36706994 (825) module 35, x -9.3625, y  3.615, z 238.531
 34612426 (755) module 33, x -8.0425, y 3.0925, z 213.531
 32517601 (695) module 31, x  -6.75, y 2.5975, z 188.531

Track #1, length 15
 54025777 (1351) module 51, x -32.1625, y 16.4575, z 750.469
 51936834 (1284) module 49, x -30.375, y 15.5225, z 705.469
 49848403 (1214) module 47, x -28.5325, y 14.5875, z 660.469
 47759716 (1140) module 45, x -26.7175, y 13.6525, z 615.469
 45684368 (1071) module 43, x -21.9325, y 11.2325, z 496.921
 43605172 (1010) module 41, x -18.0825, y 9.2525, z 401.411
 41522385 (946) module 39, x -15.0025, y 7.6575, z 324.463
 39436776 (886) module 37, x  -12.5, y 6.3925, z 262.469
 37344497 (821) module 35, x -11.4825, y 5.8975, z 237.469
 35251962 (751) module 33, x -10.4925, y  5.375, z 212.469
 32506799 (685) module 31, x -9.5275, y   4.88, z 188.531
 30412225 (626) module 29, x -8.5375, y 4.3575, z 163.531
 28317396 (570) module 27, x -7.4925, y 3.8625, z 138.531
 26222566 (519) module 25, x -6.5025, y   3.34, z 113.531
 24127992 (470) module 23, x -5.485, y 2.8175, z 88.531

Track #2, length 11
 53744514 (1355) module 51, x -25.9725, y -37.2875, z 750.469
 51658657 (1288) module 49, x -24.2675, y -34.8675, z 705.469
 49572799 (1218) module 47, x -22.6175, y -32.4475, z 660.469
 47486942 (1145) module 45, x -20.9125, y -30.0275, z 615.469
 45221424 (1076) module 43, x -16.5125, y -23.665, z 497.982
 43100786 (1016) module 41, x -12.8825, y -18.495, z 402.473
 40984230 (956) module 39, x -10.0225, y -14.315, z 325.525
 38871505 (900) module 37, x -7.6575, y -10.9325, z 263.531
 36767970 (836) module 35, x -6.7225, y -9.5575, z 238.531
 34665203 (767) module 33, x -5.7875, y -8.2375, z 213.531
 32174828 (647) module 30, x -4.3575, y -6.1725, z 175.469

Track #3, length 13
 53859740 (1356) module 51, x -24.5425, y  -12.4, z 750.469
 51765941 (1290) module 49, x -23.1675, y -11.7125, z 705.469
 49672142 (1219) module 47, x -21.7925, y -10.9975, z 660.469
 47578343 (1146) module 45, x -20.4175, y -10.2825, z 615.469
 45151787 (1075) module 43, x -16.7875, y -8.4575, z 497.982
 43047777 (1013) module 41, x -13.8175, y -6.9725, z 402.473
 40945036 (951) module 39, x -11.4525, y -5.7625, z 325.525
 38843310 (891) module 37, x -9.5825, y -4.7725, z 263.531
 36744380 (826) module 35, x -8.8125, y -4.3875, z 238.531
 34645450 (756) module 33, x -8.0425, y -4.0025, z 213.531
 32546520 (692) module 31, x -7.2725, y -3.6175, z 188.531
 30447590 (631) module 29, x -6.5025, y -3.2325, z 163.531
 28348660 (574) module 27, x -5.7325, y -2.8475, z 138.531

Track #4, length 13
 53866421 (1358) module 51, x -23.1675, y -10.97, z 750.469
 51772364 (1292) module 49, x -21.875, y -10.3375, z 705.469
 49677540 (1221) module 47, x -20.5825, y -9.7325, z 660.469
 47583228 (1148) module 45, x -19.2625, y -9.1275, z 615.469
 45147196 (1078) module 43, x -15.825, y -7.4675, z 497.982
 43043951 (1015) module 41, x -13.0475, y -6.1475, z 402.473
 40941976 (953) module 39, x -10.7925, y -5.1025, z 325.525
 38840761 (893) module 37, x -8.9775, y  -4.25, z 263.531
 36742086 (828) module 35, x -8.2625, y -3.8925, z 238.531
 34643411 (759) module 33, x -7.5475, y -3.5625, z 213.531
 32544736 (694) module 31, x -6.8325, y -3.2325, z 188.531
 30446061 (633) module 29, x -6.1175, y -2.9025, z 163.531
 28347130 (577) module 27, x -5.375, y -2.545, z 138.531

Track #5, length 12
 53884872 (1360) module 51, x -22.1225, y -6.9275, z 750.469
 51789534 (1294) module 49, x -20.885, y -6.5425, z 705.469
 49694197 (1223) module 47, x -19.6475, y -6.1575, z 660.469
 47236366 (1150) module 45, x -18.3825, y -5.7625, z 616.531
 45134410 (1080) module 43, x -15.0825, y -4.745, z 497.982
 43033466 (1018) module 41, x -12.4425, y -3.8925, z 402.473
 40933281 (955) module 39, x -10.2975, y -3.2325, z 325.525
 38833857 (895) module 37, x -8.5375, y -2.7375, z 263.531
 36735693 (831) module 35, x  -7.85, y -2.5175, z 238.531
 34637530 (761) module 33, x -7.1625, y -2.2975, z 213.531
 32539367 (697) module 31, x -6.4475, y -2.0775, z 188.531
 30441204 (636) module 29, x -5.7325, y -1.8575, z 163.531

Track #6, length 12
 53903851 (1365) module 51, x -20.1975, y -2.8575, z 750.469
 51416322 (1298) module 49, x -19.0425, y -2.6825, z 706.531
 49318423 (1227) module 47, x -17.86, y -2.5175, z 661.531
 47220524 (1152) module 45, x -16.7325, y -2.3525, z 616.531
 45121378 (1082) module 43, x -13.7625, y  -1.94, z 497.982
 43022734 (1020) module 41, x -11.3425, y -1.5825, z 402.473
 40924338 (959) module 39, x -9.3625, y -1.3075, z 325.525
 38826190 (899) module 37, x -7.8225, y -1.0875, z 263.531
 36728538 (834) module 35, x -7.1625, y -1.005, z 238.531
 34631141 (764) module 33, x -6.5575, y -0.9225, z 213.531
 32533488 (700) module 31, x -5.925, y -0.8125, z 188.531
 30436092 (639) module 29, x -5.2925, y -0.7575, z 163.531

Track #7, length 11
 54372119 (1367) module 51, x -18.3025, y 31.8575, z 751.531
 52269629 (1300) module 49, x -17.1475, y 29.7675, z 706.531
 50166883 (1229) module 47, x -15.9375, y 27.6775, z 661.531
 48064392 (1154) module 45, x -14.7825, y 25.615, z 616.531
 45952748 (1086) module 43, x -11.6475, y 20.1425, z 497.982
 43646783 (1026) module 41, x  -9.09, y 15.6875, z 401.411
 41558911 (966) module 39, x -7.0275, y 12.1675, z 324.463
 39469235 (908) module 37, x -5.4325, y   9.28, z 262.469
 37375176 (842) module 35, x -4.745, y  8.125, z 237.469
 35281117 (771) module 33, x -4.09417, y 6.96083, z 212.469
 33187058 (705) module 31, x -3.43417, y 5.80583, z 187.469

Track #8, length 6
 54090923 (1368) module 51, x -18.055, y 9.7475, z 750.469
 51999671 (1302) module 49, x -16.8175, y 9.0875, z 705.469
 49908163 (1232) module 47, x -15.6075, y 8.4275, z 660.469
