Track #0, length 12
 54423074 (3359) module 51, x -29.3575, y 31.2525, z 751.531
 52317509 (3246) module 49, x -27.5425, y 29.3275, z 706.531
 50211945 (3125) module 47, x -25.7275, y 27.3475, z 661.531
 48106381 (3001) module 45, x -23.9125, y 25.3675, z 616.531
 45987818 (2865) module 43, x -19.1825, y 20.2525, z 497.982
 43618362 (2729) module 41, x -15.2225, y 15.9625, z 401.411
 41536119 (2583) module 39, x -12.0325, y  12.58, z 324.463
 39451049 (2437) module 37, x -9.4475, y 9.8575, z 262.469
 37358269 (2278) module 35, x -8.4025, y 8.7575, z 237.469
 35266001 (2119) module 33, x -7.3575, y 7.6575, z 212.469
 33173733 (1961) module 31, x -6.3125, y 6.5575, z 187.469
 31081465 (1813) module 29, x -5.2675, y 5.4575, z 162.469

Track #1, length 11
 53903202 (3361) module 51, x -27.7325, y  -2.94, z 750.469
 51807106 (3248) module 49, x -25.9725, y -2.7475, z 705.469
 49710753 (3127) module 47, x -24.24, y -2.5825, z 660.469
 47614657 (3005) module 45, x -22.5075, y -2.3625, z 615.469
 45121302 (2869) module 43, x -17.9425, y -1.9125, z 497.982
 43022170 (2731) module 41, x -14.2025, y -1.4725, z 402.473
 40923792 (2587) module 39, x -11.2325, y -1.1975, z 325.525
 38825404 (2439) module 37, x -8.8125, y -0.9225, z 263.531
 36727757 (2280) module 35, x  -7.85, y -0.8125, z 238.531
 34630111 (2122) module 33, x -6.8875, y -0.7025, z 213.531
 32532465 (1963) module 31, x -5.8975, y -0.5925, z 188.531

Track #2, length 11
 53916025 (3363) module 51, x -26.4675, y -0.217499, z 750.469
 51818903 (3250) module 49, x -24.79, y -0.217499, z 705.469
 49721782 (3128) module 47, x -23.1125, y -0.190002, z 660.469
 47624916 (3006) module 45, x -21.4625, y -0.162502, z 615.469
 45113125 (2870) module 43, x -17.1175, y -0.1525, z 497.982
 43016038 (2734) module 41, x -13.5425, y -0.1525, z 402.473
 40918938 (2589) module 39, x -10.6825, y -0.1525, z 325.525
 38821572 (2441) module 37, x -8.3725, y -0.125, z 263.531
 36724436 (2283) module 35, x -7.465, y -0.0975003, z 238.531
 34627301 (2124) module 33, x -6.5575, y -0.0975003, z 213.531
 32530166 (1965) module 31, x -5.6225, y -0.0975003, z 188.531

Track #3, length 11
 53911498 (3366) module 51, x -21.985, y -1.2075, z 750.469
 51814370 (3252) module 49, x -20.665, y -1.2075, z 705.469
 49717242 (3131) module 47, x -19.345, y  -1.18, z 660.469
 47214868 (3009) module 45, x -18.0525, y -1.1425, z 616.531
 45117268 (2877) module 43, x -14.5325, y -1.0325, z 497.982
 43019656 (2738) module 41, x -11.6725, y -0.9225, z 402.473
 40922033 (2594) module 39, x -9.4175, y -0.8125, z 325.525
 38824402 (2445) module 37, x -7.6025, y -0.7025, z 263.531
 36726752 (2288) module 35, x -6.8325, y -0.610834, z 238.531
 34629357 (2129) module 33, x -6.1175, y -0.5375, z 213.531
 32531962 (1969) module 31, x -5.4025, y -0.4825, z 188.531

