Track #0, length 4
 53529585 (3434) module 51, x -5.8975, y -6.0925, z 751.531
 51430647 (3327) module 49, x -5.5675, y -5.7075, z 706.531
 49331966 (3212) module 47, x -5.1825, y -5.3775, z 661.531
 48955388 (3113) module 46, x -5.0725, y -5.265, z 648.469

Track #1, length 16
 53910051 (3388) module 51, x -31.1975, y -1.4825, z 750.469
 51813440 (3283) module 49, x -29.575, y -1.3725, z 705.469
 49716574 (3173) module 47, x -27.9525, y  -1.29, z 660.469
 47619964 (3062) module 45, x -26.3025, y -1.2075, z 615.469
 45523659 (2955) module 43, x -21.9575, y -1.0425, z 496.921
 43019533 (2838) module 41, x -18.4375, y -0.9225, z 402.473
 40921666 (2718) module 39, x -15.495, y -0.7575, z 325.525
 38824045 (2600) module 37, x -13.13, y -0.6475, z 263.531
 36726655 (2480) module 35, x -12.1675, y -0.5925, z 238.531
 34629264 (2356) module 33, x -11.205, y -0.5375, z 213.531
 32531874 (2219) module 31, x -10.2425, y -0.4825, z 188.531
 30434484 (2091) module 29, x -9.2525, y -0.4275, z 163.531
 28337094 (1962) module 27, x -8.2625, y -0.3725, z 138.531
 26239704 (1823) module 25, x -7.2725, y -0.3175, z 113.531
 24142314 (1696) module 23, x -6.2825, y -0.2625, z 88.531
 22045180 (1554) module 21, x -5.2925, y -0.2625, z 63.531

Track #2, length 13
 53896774 (3390) module 51, x -29.2725, y -4.3425, z 750.469
 51800934 (3287) module 49, x -27.5125, y  -4.04, z 705.469
 49705094 (3177) module 47, x -25.7525, y -3.765, z 660.469
 47609254 (3066) module 45, x -23.9925, y  -3.49, z 615.469
 45515258 (2957) module 43, x -19.3725, y  -2.83, z 496.921
 43025983 (2840) module 41, x -15.6875, y -2.2975, z 402.473
 40926837 (2724) module 39, x -12.7175, y -1.8575, z 325.525
 38828193 (2607) module 37, x -10.2975, y -1.5275, z 263.531
 36730290 (2489) module 35, x -9.3625, y -1.3625, z 238.531
 34632643 (2366) module 33, x   -8.4, y -1.2525, z 213.531
 32534741 (2229) module 31, x -7.4375, y -1.0875, z 188.531
 30436838 (2101) module 29, x -6.5025, y  -0.95, z 163.531
 28339191 (1974) module 27, x -5.5675, y -0.8125, z 138.531

Track #3, length 11
 54085800 (3399) module 51, x -19.1825, y 9.9125, z 750.469
 51993778 (3295) module 49, x -18.0825, y 9.3625, z 705.469
 49901757 (3183) module 47, x -16.9825, y 8.7575, z 660.469
 47809735 (3072) module 45, x -15.8825, y 8.2075, z 615.469
 45726435 (2963) module 43, x -12.9125, y 6.6675, z 496.921
 43640057 (2848) module 41, x -10.575, y 5.4575, z 401.411
 40897214 (2733) module 39, x -8.7025, y  4.495, z 325.525
 38803930 (2615) module 37, x -7.1625, y 3.6975, z 263.531
 36708325 (2500) module 35, x -6.5575, y 3.3675, z 238.531
 34612464 (2376) module 33, x -5.9525, y  3.065, z 213.531
 32516859 (2240) module 31, x -5.3475, y 2.7625, z 188.531

Track #4, length 13
 54357079 (3404) module 51, x -15.0575, y 28.3375, z 751.531
 52255861 (3301) module 49, x -14.1775, y 26.6875, z 706.531
 50154388 (3187) module 47, x -13.27, y 24.9825, z 661.531
 48053170 (3076) module 45, x -12.3625, y 23.3325, z 616.531
 45739781 (2968) module 43, x -9.9975, y 18.8775, z 496.921
 43650886 (2852) module 41, x -8.1275, y 15.3025, z 401.411
 41560954 (2736) module 39, x -6.5875, y 12.4425, z 324.463
 39469476 (2620) module 37, x -5.3775, y 10.1325, z 262.469
 37374645 (2503) module 35, x -4.8825, y 9.1975, z 237.469
 35279814 (2377) module 33, x -4.3875, y 8.2625, z 212.469
 33184983 (2241) module 31, x -3.8925, y 7.3275, z 187.469
 31090152 (2110) module 29, x -3.3975, y 6.3925, z 162.469
 28995320 (1977) module 27, x -2.9025, y  5.485, z 137.469

Track #5, length 9
 54121183 (3413) module 51, x -11.5925, y 6.8875, z 750.469
 52026597 (3307) module 49, x -11.0425, y 6.5575, z 705.469
 49932011 (3193) module 47, x -10.4925, y 6.2275, z 660.469
 47837425 (3082) module 45, x -9.9425, y 5.8975, z 615.469
 45089218 (2972) module 43, x -8.4825, y 5.0175, z 497.982
 42995415 (2856) module 41, x   -7.3, y 4.3025, z 402.473
 40900841 (2738) module 39, x -6.3375, y 3.7525, z 325.525
 38805751 (2619) module 37, x -5.5675, y 3.3125, z 263.531
 36709372 (2501) module 35, x -5.2925, y   3.12, z 238.531

Track #6, length 7
 53537454 (3421) module 51, x -9.5825, y -7.7975, z 751.531
 51438519 (3314) module 49, x -9.0875, y  -7.44, z 706.531
 49339839 (3200) module 47, x -8.6475, y -7.0825, z 661.531
 47240903 (3089) module 45, x -8.2075, y -6.6975, z 616.531
 45139165 (2981) module 43, x -6.9975, y -5.7075, z 497.982
 43038447 (2862) module 41, x -6.0075, y -4.9375, z 402.473
 40938237 (2745) module 39, x -5.2375, y -4.2775, z 325.525

Track #7, length 6
