Track #0, length 7
 53908255 (1000) module 51, x -31.4175, y -1.8675, z 750.469
 51809335 (954) module 49, x -30.0975, y -2.225, z 705.469
 49710671 (911) module 47, x -28.75, y -2.5825, z 660.469
 47612522 (868) module 45, x -27.2925, y -2.8025, z 615.469
 45513909 (827) module 43, x -23.1675, y -3.105, z 496.921
 43415281 (781) module 41, x -19.8675, y -3.4625, z 401.411
 40934437 (735) module 39, x -17.09, y -3.5075, z 325.525

Track #1, length 12
 53894786 (1002) module 51, x -25.945, y -4.7825, z 750.469
 51799200 (956) module 49, x -24.3225, y -4.425, z 705.469
 49703869 (913) module 47, x -22.7275, y -4.0675, z 660.469
 47608282 (870) module 45, x -21.1325, y -3.7375, z 615.469
 45125671 (831) module 43, x -16.98, y -2.8475, z 497.982
 43025253 (787) module 41, x -13.5975, y -2.1325, z 402.473
 40925335 (742) module 39, x -10.8475, y -1.5275, z 325.525
 38826174 (693) module 37, x -8.7025, y -1.0875, z 263.531
 36728270 (646) module 35, x -7.8225, y -0.9225, z 238.531
 34630110 (596) module 33, x -6.9425, y  -0.73, z 213.531
 32532206 (550) module 31, x -6.0625, y -0.565, z 188.531
 30434302 (501) module 29, x -5.1825, y -0.3725, z 163.531

Track #2, length 6
 53813167 (1004) module 51, x -23.4975, y -22.4375, z 750.469
 51721930 (958) module 49, x -22.0125, y -21.1725, z 705.469
 49631203 (915) module 47, x -20.6375, y -19.7975, z 660.469
 47540474 (872) module 45, x -19.3725, y -18.4225, z 615.469
 45181500 (834) module 43, x -15.825, y -14.9475, z 497.982
 43072366 (788) module 41, x -13.1025, y -12.39, z 402.473

Track #3, length 6
 53534370 (1010) module 51, x -10.2425, y -7.1375, z 751.531
 51435436 (965) module 49, x -9.6925, y -6.7525, z 706.531
 49336502 (921) module 47, x -9.1425, y -6.3675, z 661.531
 47237569 (879) module 45, x -8.5375, y -5.9825, z 616.531
 45135578 (840) module 43, x -7.1625, y -4.9375, z 497.982
