Track #0, length 10
 54067377 (1648) module 51, x -23.17, y   9.39, z 750.469
 51977148 (1597) module 49, x -21.6575, y  8.785, z 705.469
 49886919 (1543) module 47, x -20.1725, y   8.18, z 660.469
 47796691 (1490) module 45, x -18.6875, y 7.5475, z 615.469
 45717744 (1435) module 43, x -14.755, y 5.9525, z 496.921
 42993545 (1374) module 41, x -11.6175, y 4.6875, z 402.473
 40901304 (1311) module 39, x -9.0325, y 3.6425, z 325.525
 38808029 (1257) module 37, x -6.9975, y 2.8175, z 263.531
 36712428 (1194) module 35, x -6.145, y 2.4875, z 238.531
 34616828 (1135) module 33, x -5.2925, y 2.1575, z 213.531

Track #1, length 9
 54100645 (1653) module 51, x -15.9925, y  10.05, z 750.469
 52007856 (1601) module 49, x -15.03, y  9.445, z 705.469
 49915323 (1547) module 47, x -14.0675, y   8.84, z 660.469
 47822534 (1495) module 45, x -13.1325, y  8.235, z 615.469
 45736931 (1440) module 43, x -10.6575, y   6.64, z 496.921
 43648763 (1379) module 41, x -8.6225, y 5.3475, z 401.411
 40898012 (1315) module 39, x -7.025, y 4.3575, z 325.525
 38804724 (1261) module 37, x -5.7325, y 3.5325, z 263.531
 36709118 (1198) module 35, x -5.1825, y 3.2025, z 238.531

Track #2, length 13
 54336782 (1659) module 51, x -10.7125, y 32.3525, z 751.531
 52236593 (1607) module 49, x -10.0525, y 30.4275, z 706.531
 50136660 (1553) module 47, x -9.4475, y 28.5025, z 661.531
 48036983 (1501) module 45, x -8.7875, y 26.5775, z 616.531
 45932244 (1447) module 43, x -7.1375, y 21.4625, z 497.982
 43661601 (1385) module 41, x  -5.79, y 17.3375, z 401.411
 41569629 (1321) module 39, x -4.7175, y 14.0375, z 324.463
 39476365 (1262) module 37, x -3.8925, y 11.3975, z 262.469
 37381025 (1199) module 35, x -3.5075, y 10.2975, z 237.469
 35285428 (1137) module 33, x -3.1775, y 9.2525, z 212.469
 33189832 (1080) module 31, x -2.8475, y 8.1525, z 187.469
 31094235 (1022) module 29, x  -2.49, y 7.1075, z 162.469
 28998894 (948) module 27, x -2.1325, y  6.035, z 137.469

Track #3, length 7
 54176411 (1667) module 51, x 0.397499, y   10.6, z 750.469
 52079014 (1613) module 49, x 0.342499, y 10.0225, z 705.469
 49981872 (1559) module 47, x 0.342499, y  9.445, z 660.469
 47884475 (1506) module 45, x 0.287498, y 8.8675, z 615.469
 45786838 (1452) module 43, x 0.177498, y 7.3825, z 496.921
 43689452 (1390) module 41, x 0.122498, y 6.1725, z 401.411
 41592318 (1325) module 39, x 0.122498, y 5.1825, z 324.463

Track #4, length 13
 54023465 (1645) module 51, x -32.6575, y  16.87, z 750.469
 51935548 (1594) module 49, x -30.6775, y 15.8525, z 705.469
 49847630 (1539) module 47, x -28.6975, y 14.8625, z 660.469
 47759456 (1487) module 45, x -26.7725, y 13.845, z 615.469
 45685905 (1433) module 43, x -21.6025, y 11.1775, z 496.921
 43607991 (1372) module 41, x -17.4775, y   9.06, z 401.411
 41526487 (1309) module 39, x -14.1225, y 7.3275, z 324.463
 39441904 (1254) module 37, x -11.4275, y 5.9525, z 262.469
 37349626 (1192) module 35, x -10.3825, y 5.4025, z 237.469
 34604210 (1133) module 33, x -9.335, y 4.8525, z 213.531
 32509638 (1078) module 31, x -8.2625, y 4.3025, z 188.531
 30415065 (1019) module 29, x -7.2175, y 3.7525, z 163.531
 28320493 (944) module 27, x -6.1175, y  3.175, z 138.531

Track #5, length 10
 54391510 (1649) module 51, x -22.4275, y 21.3525, z 751.531
 52287472 (1598) module 49, x -20.9425, y 19.9225, z 706.531
 49889803 (1544) module 47, x -19.485, y 18.5475, z 660.469
 47799589 (1491) module 45, x -18.0275, y 17.1175, z 615.469
 45720168 (1437) module 43, x -14.205, y 13.4325, z 496.921
 43637661 (1375) module 41, x -11.0975, y 10.5175, z 401.411
 41551304 (1312) module 39, x -8.6775, y 8.1525, z 324.463
 39463402 (1258) module 37, x -6.6975, y 6.2825, z 262.469
 37369847 (1195) module 35, x -5.9275, y   5.54, z 237.469
 34604542 (1136) module 33, x -5.155, y 4.7975, z 213.531

Track #6, length 7
 54106098 (1654) module 51, x -14.8192, y 5.82417, z 750.469
 52013561 (1602) module 49, x -13.8475, y 5.4575, z 705.469
 49283186 (1548) module 47, x -12.8825, y 5.0725, z 661.531
 47187843 (1497) module 45, x -11.9475, y 4.6875, z 616.531
 45095346 (1443) module 43, x -9.3625, y 3.6975, z 497.982
 43001814 (1381) module 41, x -7.355, y 2.9275, z 402.473
 40907764 (1318) module 39, x -5.7325, y 2.2675, z 325.525

Track #7, length 12
 53616553 (1660) module 51, x -9.8575, y -25.04, z 751.531
 51512500 (1608) module 49, x -9.2525, y -23.555, z 706.531
 49408958 (1554) module 47, x -8.7025, y -22.0425, z 661.531
 47304905 (1502) module 45, x -8.0975, y -20.5575, z 616.531
