Track #0, length 11
 54014682 (5190) module 51, x -34.5825, y 7.1625, z 750.469
 51927777 (4990) module 49, x -32.3825, y 6.7775, z 705.469
 49840873 (4786) module 47, x -30.1825, y   6.31, z 660.469
 47753713 (4591) module 45, x -28.01, y 5.8975, z 615.469
 42997275 (4208) module 41, x -17.6675, y 3.8625, z 402.473
 40903775 (3996) module 39, x -13.9275, y 3.0925, z 325.525
 38809238 (3783) module 37, x -10.9025, y  2.515, z 263.531
 36713388 (3555) module 35, x -9.6925, y 2.2675, z 238.531
 34617538 (3324) module 33, x -8.4825, y 1.9925, z 213.531
 32521432 (3082) module 31, x -7.2725, y 1.7725, z 188.531
 30425581 (2858) module 29, x -6.1175, y 1.4975, z 163.531

Track #1, length 10
 54428560 (5194) module 51, x -30.5308, y 25.1842, z 751.531
 52322494 (4994) module 49, x -28.5875, y 22.6725, z 706.531
 50216171 (4788) module 47, x -26.6075, y 20.1975, z 661.531
 47769371 (4593) module 45, x -24.6275, y 17.6675, z 615.469
 45695890 (4405) module 43, x -19.4575, y 11.1225, z 496.921
 43618034 (4216) module 41, x -15.305, y 5.8425, z 401.411
 40910722 (4005) module 39, x -12.0025, y 1.6075, z 325.525
 38829491 (3787) module 37, x -9.3075, y -1.8025, z 263.531
 36738759 (3562) module 35, x -8.2075, y -3.205, z 238.531
 34648283 (3331) module 33, x -7.1075, y -4.6075, z 213.531

Track #2, length 11
 54062702 (5200) module 51, x -24.2425, y 13.1025, z 750.469
 51971965 (5002) module 49, x -22.73, y 12.2775, z 705.469
 49881996 (4797) module 47, x -21.2175, y 11.425, z 660.469
 47791771 (4599) module 45, x -19.7325, y 10.6275, z 615.469
 45712834 (4409) module 43, x -15.8275, y 8.4825, z 496.921
 43630305 (4219) module 41, x -12.6925, y 6.7775, z 401.411
 41545210 (4012) module 39, x -10.1075, y 5.4025, z 324.463
 38801096 (3793) module 37, x -8.125, y 4.3025, z 263.531
 36706007 (3569) module 35, x   -7.3, y 3.8625, z 238.531
 34610918 (3340) module 33, x -6.475, y 3.4225, z 213.531
 32515829 (3098) module 31, x -5.6775, y 2.9825, z 188.531

Track #3, length 12
 54071610 (5204) module 51, x -22.2075, y 15.9625, z 750.469
 51980363 (5006) module 49, x -20.9425, y 15.0275, z 705.469
 49889115 (4802) module 47, x -19.6775, y 14.1475, z 660.469
 47797868 (4603) module 45, x -18.4125, y 13.2125, z 615.469
 45716375 (4413) module 43, x -15.0575, y 10.8475, z 496.921
 43631802 (4223) module 41, x -12.3625, y 8.9225, z 401.411
 41544662 (4011) module 39, x -10.2175, y 7.3825, z 324.463
 39454957 (3791) module 37, x -8.485, y 6.1175, z 262.469
 37361142 (3564) module 35, x -7.7975, y 5.6225, z 237.469
 35267327 (3332) module 33, x -7.0825, y 5.1275, z 212.469
 32508135 (3089) module 31, x  -6.42, y 4.6325, z 188.531
 30413300 (2862) module 29, x -5.7325, y 4.1375, z 163.531

Track #4, length 10
 53870817 (5208) module 51, x -20.7475, y -9.93875, z 750.469
 51776248 (5010) module 49, x -19.4825, y -9.375, z 705.469
 49347857 (4806) module 47, x -18.2175, y -8.8425, z 661.531
 47248168 (4609) module 45, x -16.9525, y -8.2925, z 616.531
 45144422 (4418) module 43, x -13.5425, y -6.8625, z 497.982
 43042200 (4230) module 41, x -10.7925, y -5.7625, z 402.473
 40939967 (4023) module 39, x -8.6475, y -4.6625, z 325.525
 38838493 (3805) module 37, x -6.9975, y -3.7275, z 263.531
 36739561 (3577) module 35, x -6.3375, y -3.3425, z 238.531
 34640630 (3351) module 33, x -5.6225, y -2.9575, z 213.531

Track #5, length 9
 53574664 (5214) module 51, x -18.7125, y -15.9375, z 751.531
 51472925 (5014) module 49, x -17.5575, y -14.9475, z 706.531
 49371186 (4811) module 47, x -16.4025, y -13.9575, z 661.531
 47269447 (4614) module 45, x -15.2475, y -12.995, z 616.531
 45160574 (4424) module 43, x -12.2225, y -10.4375, z 497.982
 43054251 (4234) module 41, x -9.7475, y -8.3475, z 402.473
 40949454 (4027) module 39, x -7.8225, y -6.6975, z 325.525
 38846186 (3810) module 37, x -6.2825, y -5.3775, z 263.531
 36746486 (3584) module 35, x -5.6225, y -4.8275, z 238.531

Track #6, length 11
 54088994 (5216) module 51, x -18.4675, y 17.2825, z 750.469
 51996724 (5016) module 49, x -17.4225, y 16.2925, z 705.469
 49904710 (4812) module 47, x -16.3225, y 15.3025, z 660.469
 47812440 (4613) module 45, x -15.2775, y 14.3125, z 615.469
 45728135 (4423) module 43, x -12.4908, y 11.7092, z 496.921
 43641518 (4233) module 41, x -10.245, y 9.5825, z 401.411
 41552333 (4025) module 39, x -8.4575, y 7.8775, z 324.463
 39461861 (3804) module 37, x     -7, y   6.53, z 262.469
 37367535 (3576) module 35, x -6.4225, y   5.98, z 237.469
 35273209 (3347) module 33, x -5.8175, y   5.43, z 212.469
 32506876 (3104) module 31, x -5.2925, y 4.9075, z 188.531

Track #7, length 11
 54349212 (5227) module 51, x -13.38, y 24.5425, z 751.531
 52248248 (5028) module 49, x -12.5275, y 23.0025, z 706.531
 50147027 (4827) module 47, x -11.6475, y 21.5175, z 661.531
 48046062 (4628) module 45, x -10.8225, y 20.005, z 616.531
 45745723 (4437) module 43, x -8.6225, y 15.9075, z 496.921
 43656822 (4247) module 41, x -6.8625, y 12.6625, z 401.411
 41566117 (4040) module 39, x  -5.46, y 10.0775, z 324.463
 39474379 (3823) module 37, x -4.3325, y 7.9875, z 262.469
 37379547 (3595) module 35, x -3.8375, y 7.1075, z 237.469
 35284458 (3361) module 33, x -3.3975, y 6.2825, z 212.469
 33189369 (3119) module 31, x -2.9575, y 5.4575, z 187.469

Track #8, length 7
 54348812 (5228) module 51, x -13.2975, y 32.4625, z 751.531
 52246325 (5032) module 49, x -12.17, y 30.2075, z 706.531
 50144351 (4830) module 47, x -11.0975, y 27.8975, z 661.531
 48042377 (4633) module 45, x -10.0525, y 25.5875, z 616.531
 45932280 (4444) module 43, x -7.1375, y 19.4825, z 497.982
 43666259 (4258) module 41, x -4.8275, y 14.5875, z 401.411
 41577369 (4044) module 39, x -3.0675, y 10.7375, z 324.463

Track #9, length 11
 53627277 (5234) module 51, x -11.3975, y -27.3225, z 751.531
 51522202 (5037) module 49, x -10.6825, y -25.645, z 706.531
 49417383 (4834) module 47, x -9.9675, y -23.9675, z 661.531
 47312820 (4636) module 45, x -9.2525, y -22.2625, z 616.531
 45194710 (4440) module 43, x -7.3825, y -17.78, z 497.982
 43080945 (4253) module 41, x -5.8975, y -14.1775, z 402.473
 40563864 (3851) module 38, x -4.4675, y -10.7925, z 312.463
 38462146 (3623) module 36, x -3.4775, y -8.4825, z 250.469
 36363219 (3386) module 34, x -3.0925, y  -7.52, z 225.469
 34264292 (3145) module 32, x -2.7075, y -6.585, z 200.469
 32165366 (2906) module 30, x -2.3225, y -5.6225, z 175.469

Track #10, length 5
 53495985 (5242) module 51, x  -9.39, y 1.1125, z 751.531
 51399100 (5044) module 49, x -8.8125, y 1.0575, z 706.531
 49302214 (4842) module 47, x -8.2625, y  0.975, z 661.531
 47205585 (4645) module 45, x -7.6575, y 0.8925, z 616.531
 45109228 (4449) module 43, x -6.1725, y 0.7275, z 497.982

Track #11, length 5
 53535185 (5246) module 51, x -7.6575, y -7.3025, z 751.531
 51436249 (5048) module 49, x -7.2175, y -6.9175, z 706.531
 49337057 (4847) module 47, x -6.7775, y -6.4775, z 661.531
 47238121 (4649) module 45, x -6.3375, y -6.0925, z 616.531
 45135870 (4456) module 43, x -5.1825, y -4.9925, z 497.982

Track #12, length 4
 53510635 (5251) module 51, x -6.2275, y  -2.05, z 751.531
 51412977 (5053) module 49, x -5.8975, y -1.9125, z 706.531
 49315319 (4852) module 47, x -5.5675, y -1.8025, z 661.531
 47217662 (4654) module 45, x -5.1825, y -1.6925, z 616.531

Track #13, length 4
 53928462 (5192) module 51, x -32.3525, y 2.4775, z 750.469
 51821688 (4999) module 49, x -26.5225, y 0.387501, z 705.469
 49714659 (4799) module 47, x -20.6375, y -1.7575, z 660.469
 47227469 (4617) module 45, x -14.89, y -3.8375, z 616.531

Track #14, length 14
 54424472 (5195) module 51, x -29.6325, y 24.7625, z 751.531
 52319409 (4995) module 49, x -27.9275, y 23.3875, z 706.531
 50214603 (4789) module 47, x -26.2775, y 21.9575, z 661.531
 48109541 (4594) module 45, x -24.5725, y 20.5275, z 616.531
 45692715 (4403) module 43, x -20.1175, y 16.7875, z 496.921
 43612257 (4212) module 41, x -16.5425, y 13.8175, z 401.411
 41528717 (4000) module 39, x -13.6275, y 11.3975, z 324.463
 39442352 (3777) module 37, x -11.3175, y  9.445, z 262.469
 37349567 (3550) module 35, x -10.3825, y 8.6475, z 237.469
 35256781 (3318) module 33, x -9.4475, y 7.8775, z 212.469
 33163227 (3076) module 31, x  -8.54, y   7.08, z 187.469
 31070697 (2849) module 29, x -7.5775, y 6.3375, z 162.469
 28977911 (2634) module 27, x -6.6425, y   5.54, z 137.469
