Track #0, length 13
 53925031 (2523) module 51, x -23.9375, y  1.735, z 750.469
 51827392 (2426) module 49, x -22.5625, y  1.625, z 705.469
 49729753 (2330) module 47, x -21.1875, y  1.515, z 660.469
 47632113 (2229) module 45, x -19.8675, y  1.405, z 615.469
 45107252 (2135) module 43, x -16.2925, y 1.1125, z 497.982
 43011176 (2040) module 41, x -13.4325, y 0.8925, z 402.473
 40915090 (1940) module 39, x -11.1225, y 0.6725, z 325.525
 38818484 (1833) module 37, x -9.2525, y 0.5625, z 263.531
 36721602 (1721) module 35, x -8.4825, y 0.5075, z 238.531
 34624719 (1602) module 33, x  -7.74, y 0.4525, z 213.531
 32527837 (1490) module 31, x -6.9975, y 0.3975, z 188.531
 30430955 (1377) module 29, x -6.2275, y 0.3425, z 163.531
 28333817 (1267) module 27, x -5.4575, y  0.315, z 138.531

Track #1, length 8
 54103164 (2528) module 51, x -15.4425, y 12.3325, z 750.469
 52010377 (2430) module 49, x -14.5075, y  11.59, z 705.469
 49917335 (2334) module 47, x  -13.6, y 10.8475, z 660.469
 47824549 (2234) module 45, x -12.6925, y 10.0775, z 615.469
 45738696 (2137) module 43, x -10.2725, y 8.1525, z 496.921
 43650277 (2043) module 41, x -8.2925, y 6.5575, z 401.411
 41560315 (1946) module 39, x -6.7525, y   5.32, z 324.463
 38800887 (1840) module 37, x -5.5675, y 4.3575, z 263.531

Track #2, length 5
 53493107 (2533) module 51, x -12.8275, y 1.7175, z 751.531
 51395709 (2435) module 49, x -12.2775, y  1.745, z 706.531
 49298312 (2339) module 47, x -11.6725, y    1.8, z 661.531
 47200914 (2239) module 45, x -11.1225, y  1.855, z 616.531
 45104296 (2140) module 43, x -9.9125, y 1.7725, z 497.982

Track #3, length 10
 53577100 (2536) module 51, x -11.425, y -16.4325, z 751.531
 51475352 (2439) module 49, x -10.7925, y -15.4425, z 706.531
 49373604 (2343) module 47, x -10.1325, y -14.4525, z 661.531
 47271856 (2243) module 45, x -9.445, y -13.49, z 616.531
 45162960 (2148) module 43, x -7.7125, y -10.96, z 497.982
 43057130 (2054) module 41, x -6.2825, y  -8.98, z 402.473
 40952318 (1957) module 39, x -5.1825, y -7.3025, z 325.525
 40566237 (1859) module 38, x  -4.99, y -6.9975, z 312.463
 38464757 (1744) module 36, x -4.0275, y -5.6775, z 250.469
 36365823 (1627) module 34, x  -3.67, y -5.1275, z 225.469

Track #4, length 5
 53503429 (2541) module 51, x  -8.29, y -0.4825, z 751.531
 51406030 (2443) module 49, x -7.8225, y -0.455, z 706.531
 49308887 (2347) module 47, x -7.3275, y -0.4275, z 661.531
 47211488 (2247) module 45, x -6.8325, y -0.3725, z 616.531
 45114103 (2152) module 43, x -5.5675, y -0.3175, z 497.982

Track #5, length 14
 53657837 (2549) module 51, x -6.1175, y -33.8675, z 751.531
 51550960 (2450) module 49, x -5.9525, y -31.7775, z 706.531
 49444339 (2353) module 47, x -5.7875, y -29.7425, z 661.531
 47337462 (2252) module 45, x -5.6225, y -27.6525, z 616.531
 44827596 (2065) module 42, x -4.9075, y -21.875, z 485.982
 42659866 (1970) module 40, x -4.275, y -17.7225, z 389.411
 40560213 (1862) module 38, x -3.6975, y -14.4775, z 312.463
 38460548 (1746) module 36, x -3.1475, y -11.8925, z 250.469
 36362391 (1628) module 34, x -2.9275, y -10.8475, z 225.469
 34264235 (1513) module 32, x -2.7075, y -9.7475, z 200.469
 32166078 (1395) module 30, x -2.4875, y -8.7025, z 175.469
 30067666 (1285) module 28, x -2.2125, y -7.6025, z 150.469
 27969254 (1171) module 26, x -1.9375, y -6.5025, z 125.469
 25870586 (1079) module 24, x -1.635, y -5.4025, z 100.469

Track #6, length 5
 54157251 (2554) module 51, x   -3.7, y 8.4275, z 750.469
 52061132 (2455) module 49, x  -3.48, y 7.9325, z 705.469
 49965013 (2358) module 47, x  -3.26, y 7.4375, z 660.469
 47868894 (2258) module 45, x  -3.04, y 6.9425, z 615.469
 45774581 (2155) module 43, x -2.4625, y 5.6775, z 496.921

Track #7, length 4
 54165723 (2555) module 51, x -1.9125, y 7.1075, z 750.469
 52069090 (2456) module 49, x -1.8025, y  6.695, z 705.469
 49972458 (2359) module 47, x -1.6925, y 6.2825, z 660.469
 47875825 (2259) module 45, x -1.5825, y 5.8975, z 615.469

Track #8, length 13
 53869931 (2520) module 51, x -27.2375, y -10.2275, z 750.469
 51775113 (2423) module 49, x -25.5875, y -9.6225, z 705.469
 49680806 (2327) module 47, x -23.9925, y -9.0175, z 660.469
 47586756 (2226) module 45, x -22.3425, y -8.3575, z 615.469
 45144083 (2134) module 43, x -18.1075, y -6.8075, z 497.982
 43040849 (2036) module 41, x -14.6975, y -5.4875, z 402.473
 40939138 (1939) module 39, x -12.0025, y -4.4975, z 325.525
 38838441 (1832) module 37, x -9.8575, y -3.7275, z 263.531
 36739769 (1720) module 35, x -8.9775, y -3.3975, z 238.531
 34641096 (1601) module 33, x -8.125, y -3.0675, z 213.531
 32542424 (1488) module 31, x -7.2725, y -2.7375, z 188.531
 30443752 (1376) module 29, x -6.3925, y -2.4075, z 163.531
 28345079 (1266) module 27, x -5.5675, y -2.0775, z 138.531

Track #9, length 15
 53748431 (2524) module 51, x -21.7375, y -36.4625, z 750.469
 51661286 (2427) module 49, x -20.4725, y -34.3175, z 705.469
 49573885 (2331) module 47, x -19.2075, y -32.2275, z 660.469
 47348757 (2230) module 45, x -17.9975, y -30.1275, z 616.531
 45225554 (2136) module 43, x -14.6425, y -24.5175, z 497.982
 43107971 (2042) module 41, x -11.92, y -20.0075, z 402.473
 40993963 (1944) module 39, x -9.7475, y -16.3775, z 325.525
 38883275 (1836) module 37, x -7.9875, y -13.4625, z 263.531
 36780503 (1722) module 35, x -7.3275, y -12.28, z 238.531
 34677988 (1603) module 33, x -6.6125, y -11.0975, z 213.531
 32575217 (1492) module 31, x -5.8975, y -9.915, z 188.531
 30473214 (1378) module 29, x -5.1825, y -8.7325, z 163.531
 30079944 (1283) module 28, x -4.8525, y -8.125, z 150.469
 27979486 (1169) module 26, x -4.1375, y -6.9425, z 125.469
 25879027 (1077) module 24, x -3.4225, y -5.7875, z 100.469

Track #10, length 8
 53481041 (2529) module 51, x -14.67, y 4.3025, z 751.531
 51385184 (2431) module 49, x -13.845, y 4.0275, z 706.531
 49289072 (2335) module 47, x -12.9925, y 3.8075, z 661.531
 47192959 (2235) module 45, x -12.1675, y   3.56, z 616.531
 45098920 (2139) module 43, x -9.9125, y 2.9275, z 497.982
 43004361 (2044) module 41, x -8.0975, y 2.3775, z 402.473
 40909283 (1947) module 39, x -6.6675, y 1.9375, z 325.525
 38813689 (1842) module 37, x -5.4575, y 1.6075, z 263.531

Track #11, length 7
 53553012 (2534) module 51, x -12.745, y -11.2625, z 751.531
 51452802 (2436) module 49, x -12.0025, y -10.6025, z 706.531
 49352591 (2340) module 47, x -11.2875, y -9.9425, z 661.531
 47252380 (2240) module 45, x -10.5725, y -9.2825, z 616.531
 45147839 (2145) module 43, x -8.6475, y -7.5775, z 497.982
 43044316 (2051) module 41, x -7.0525, y -6.2025, z 402.473
 40942067 (1952) module 39, x -5.7875, y -5.1025, z 325.525

Track #12, length 5
 54176456 (2556) module 51, x 0.397499, y 8.1525, z 750.469
 52079056 (2457) module 49, x 0.342499, y  7.685, z 705.469
 49981913 (2360) module 47, x 0.342499, y 7.2175, z 660.469
 47884514 (2260) module 45, x 0.314999, y 6.7225, z 615.469
 45787128 (2156) module 43, x 0.232498, y 5.5125, z 496.921

Track #13, length 11
 53768753 (2518) module 51, x  -30.4, y -32.0625, z 750.469
 51681879 (2420) module 49, x -28.3375, y -29.8625, z 705.469
 49595004 (2323) module 47, x -26.3025, y -27.6625, z 660.469
 47508130 (2221) module 45, x -24.2125, y -25.4625, z 615.469
 45203718 (2129) module 43, x -18.8225, y -19.7325, z 497.982
 43084630 (2037) module 41, x -14.4225, y -15.0025, z 402.473
 40969623 (1941) module 39, x -10.8475, y -11.1525, z 325.525
