Track #0, length 13
 53768228 (1527) module 51, x -31.1425, y -32.1725, z 750.469
 51679814 (1459) module 49, x -29.2725, y -30.275, z 705.469
 49591655 (1385) module 47, x -27.43, y -28.3775, z 660.469
 47503497 (1313) module 45, x -25.5875, y -26.4525, z 615.469
 45429218 (1243) module 43, x -20.6925, y -21.42, z 496.921
 43095595 (1182) module 41, x -16.7875, y -17.3675, z 402.473
 40983396 (1118) module 39, x -13.625, y -14.1225, z 325.525
 38874003 (1061) module 37, x -11.0675, y -11.4825, z 263.531
 36771750 (999) module 35, x -10.0225, y -10.3825, z 238.531
 34669753 (940) module 33, x -8.9775, y -9.3375, z 213.531
 32568011 (881) module 31, x  -7.96, y -8.265, z 188.531
 30466014 (823) module 29, x -6.9425, y -7.1925, z 163.531
 28364017 (767) module 27, x -5.8975, y -6.1475, z 138.531

Track #1, length 4
 53783739 (1530) module 51, x -22.81, y -28.8725, z 750.469
 51695319 (1463) module 49, x -21.27, y -27.0025, z 705.469
 49607154 (1390) module 47, x -19.7758, y -25.0592, z 660.469
 47317006 (1316) module 45, x -18.3825, y -23.28, z 616.531

Track #2, length 9
 53875424 (1531) module 51, x -20.8025, y -8.9625, z 750.469
 51781112 (1465) module 49, x -19.4825, y -8.3575, z 705.469
 49342993 (1393) module 47, x -18.2175, y -7.825, z 661.531
 47243305 (1319) module 45, x -16.8975, y -7.2475, z 616.531
 45139304 (1247) module 43, x -13.4325, y  -5.79, z 497.982
 43036828 (1186) module 41, x -10.5725, y -4.6075, z 402.473
 40935109 (1122) module 39, x -8.3175, y -3.6175, z 325.525
 38834406 (1067) module 37, x -6.5025, y -2.8475, z 263.531
 36735987 (1005) module 35, x  -5.76, y -2.5725, z 238.531

Track #3, length 12
 53913056 (1532) module 51, x -20.775, y -0.877502, z 750.469
 51816182 (1464) module 49, x -19.5925, y -0.822502, z 705.469
 49310476 (1392) module 47, x -18.4925, y -0.8125, z 661.531
 47213090 (1317) module 45, x -17.2825, y -0.7575, z 616.531
 45115226 (1246) module 43, x -14.2025, y -0.5925, z 497.982
 43017607 (1185) module 41, x  -11.7, y -0.4825, z 402.473
 40919980 (1121) module 39, x -9.6925, y   -0.4, z 325.525
 38822602 (1064) module 37, x -8.0425, y -0.3175, z 263.531
 36725462 (1002) module 35, x -7.3825, y -0.3175, z 238.531
 34628066 (943) module 33, x -6.7225, y -0.2625, z 213.531
 32530926 (883) module 31, x -6.0625, y -0.2625, z 188.531
 30433530 (826) module 29, x -5.4025, y -0.2075, z 163.531

Track #4, length 9
 53548289 (1533) module 51, x -19.0975, y  -10.3, z 751.531
 51448343 (1466) module 49, x -17.8875, y -9.6675, z 706.531
 49348397 (1394) module 47, x -16.6775, y  -8.98, z 661.531
 47248451 (1320) module 45, x -15.4675, y -8.3475, z 616.531
 45143421 (1248) module 43, x -12.25, y -6.6425, z 497.982
 43039916 (1188) module 41, x -9.6925, y -5.2675, z 402.473
 40937426 (1125) module 39, x -7.6025, y  -4.14, z 325.525
 38836208 (1069) module 37, x -5.925, y -3.2325, z 263.531
 36737533 (1008) module 35, x -5.2375, y -2.9025, z 238.531

Track #5, length 11
 53639690 (1534) module 51, x -18.6025, y -30.045, z 751.531
 51533855 (1467) module 49, x -17.42, y -28.1475, z 706.531
 49427765 (1395) module 47, x -16.2375, y -26.25, z 661.531
 47321931 (1321) module 45, x -15.0275, y -24.3525, z 616.531
 45202052 (1249) module 43, x -11.8925, y -19.3475, z 497.982
 43086001 (1189) module 41, x -9.39917, y -15.2958, z 402.473
 40973782 (1128) module 39, x -7.3825, y -12.0325, z 325.525
 38864372 (1070) module 37, x -5.7325, y -9.3925, z 263.531
 36370895 (951) module 34, x -4.7425, y -7.7675, z 225.469
 34270690 (893) module 32, x -4.0825, y -6.7225, z 200.469
 32170485 (835) module 30, x -3.4225, y -5.6775, z 175.469

Track #6, length 9
 54097381 (1535) module 51, x -16.7075, y 6.5575, z 750.469
 52004844 (1468) module 49, x -15.7175, y 6.1725, z 705.469
 49912050 (1396) module 47, x -14.755, y 5.8425, z 660.469
 47819512 (1323) module 45, x -13.7925, y 5.5125, z 615.469
