Track #0, length 17
 54451857 (3420) module 51, x -35.5175, y  25.12, z 751.531
 52345770 (3271) module 49, x -33.5925, y 23.7725, z 706.531
 50239682 (3124) module 47, x -31.695, y 22.4525, z 661.531
 48133850 (2968) module 45, x -29.7975, y 21.1325, z 616.531
 45671965 (2802) module 43, x -24.6825, y 17.5575, z 496.921
 43593297 (2627) module 41, x -20.6125, y 14.6975, z 401.411
 41511547 (2447) module 39, x -17.3125, y 12.3875, z 324.463
 39426718 (2257) module 37, x -14.6725, y 10.4625, z 262.469
 37334443 (2079) module 35, x -13.6275, y 9.7475, z 237.469
 35242169 (1901) module 33, x -12.555, y 8.9775, z 212.469
 33150151 (1728) module 31, x -11.4825, y 8.2075, z 187.469
 31057877 (1575) module 29, x -10.4375, y 7.4375, z 162.469
 28965602 (1428) module 27, x -9.37417, y 6.70417, z 137.469
 26873072 (1286) module 25, x -8.2925, y 5.9525, z 112.469
 24780798 (1139) module 23, x -7.2475, y 5.1825, z 87.469
 22023146 (1001) module 21, x -6.255, y 4.4675, z 63.531
 19929598 (882) module 19, x -5.1825, y 3.6975, z 38.531

Track #1, length 14
 54013320 (3421) module 51, x -34.8575, y 11.6725, z 750.469
 51925652 (3272) module 49, x -32.8042, y 10.9758, z 705.469
 49838241 (3126) module 47, x -30.7325, y 10.2975, z 660.469
 47750573 (2970) module 45, x -28.67, y 9.6375, z 615.469
 45678540 (2804) module 43, x -23.2067, y 7.89583, z 496.921
 43601639 (2629) module 41, x -18.8525, y 6.4475, z 401.411
 41521149 (2453) module 39, x -15.2775, y 5.2375, z 324.463
 38801273 (2264) module 37, x -12.4975, y 4.2475, z 263.531
 36705934 (2084) module 35, x -11.3425, y 3.8625, z 238.531
 34610595 (1909) module 33, x -10.1875, y 3.4775, z 213.531
 32515256 (1738) module 31, x -9.0325, y  3.065, z 188.531
 30420173 (1584) module 29, x -7.8775, y 2.6525, z 163.531
 28324834 (1442) module 27, x -6.7225, y 2.2675, z 138.531
 26229495 (1303) module 25, x -5.5675, y 1.8825, z 113.531

Track #2, length 8
 54017754 (3422) module 51, x -33.9225, y 7.1625, z 750.469
 51932644 (3273) module 49, x -31.31, y 6.6125, z 705.469
 49847790 (3128) module 47, x -28.6975, y 6.0625, z 660.469
 47762936 (2975) module 45, x -26.0575, y 5.5125, z 615.469
 45547518 (2813) module 43, x -19.1525, y 4.0725, z 496.921
 43001700 (2645) module 41, x -13.6525, y 2.9275, z 402.473
 40908726 (2483) module 39, x -9.1425, y   2.02, z 325.525
 38815223 (2310) module 37, x -5.53083, y 1.25917, z 263.531

Track #3, length 8
 54022627 (3423) module 51, x -32.8775, y 6.6675, z 750.469
 51934954 (3274) module 49, x -30.8425, y 6.2825, z 705.469
 49847281 (3127) module 47, x -28.8075, y 5.8975, z 660.469
 47759352 (2973) module 45, x -26.8275, y 5.5125, z 615.469
 42998301 (2632) module 41, x -17.53, y 3.6425, z 402.473
 40904538 (2457) module 39, x -14.2025, y 2.9275, z 325.525
 38809739 (2268) module 37, x -11.48, y  2.405, z 263.531
 36713631 (2088) module 35, x -10.4075, y  2.185, z 238.531

Track #4, length 8
 54026984 (3424) module 51, x -31.9425, y 6.3925, z 750.469
 51938543 (3275) module 49, x -30.0725, y 6.0075, z 705.469
 49850102 (3129) module 47, x -28.2025, y 5.6225, z 660.469
 47761918 (2974) module 45, x -26.2775, y 5.1825, z 615.469
 42998818 (2633) module 41, x -17.2825, y 3.5325, z 402.473
 40904540 (2458) module 39, x -14.0925, y 2.9275, z 325.525
 38809739 (2268) module 37, x -11.48, y  2.405, z 263.531
 36713631 (2088) module 35, x -10.4075, y  2.185, z 238.531

Track #5, length 13
 53913115 (3425) module 51, x -31.6375, y -0.822502, z 750.469
 51816253 (3276) module 49, x -29.7675, y -0.767502, z 705.469
 49719391 (3130) module 47, x -27.8975, y -0.712502, z 660.469
 47622530 (2976) module 45, x -25.9725, y -0.657501, z 615.469
 45525980 (2807) module 43, x -21.0225, y -0.547501, z 496.921
 43017254 (2634) module 41, x -17.0625, y -0.4275, z 402.473
 40919904 (2460) module 39, x -13.8725, y -0.3725, z 325.525
 38822544 (2272) module 37, x -11.2325, y -0.3175, z 263.531
 36725154 (2089) module 35, x -10.2058, y -0.299167, z 238.531
 34628021 (1913) module 33, x  -9.17, y -0.2625, z 213.531
 32530888 (1748) module 31, x -8.125, y -0.2625, z 188.531
 30433499 (1591) module 29, x  -7.08, y -0.2075, z 163.531
 28336366 (1452) module 27, x -6.0625, y -0.2075, z 138.531

Track #6, length 13
 53880862 (3426) module 51, x -31.4542, y -7.73417, z 750.469
 51786049 (3277) module 49, x -29.5475, y -7.2575, z 705.469
 49690979 (3131) module 47, x -27.6775, y -6.8175, z 660.469
 47596165 (2977) module 45, x -25.8075, y -6.3225, z 615.469
 45504478 (2808) module 43, x -20.9125, y  -5.14, z 496.921
 43034663 (2635) module 41, x -17.0075, y -4.1675, z 402.473
 40933985 (2461) module 39, x -13.8175, y -3.3975, z 325.525
