Track #0, length 12
 53829147 (1980) module 51, x -31.6375, y -18.9725, z 750.469
 51737150 (1922) module 49, x -29.7125, y -17.8725, z 705.469
 49645409 (1863) module 47, x -27.76, y -16.7175, z 660.469
 47553669 (1800) module 45, x -25.8075, y -15.5625, z 615.469
 45470945 (1728) module 43, x -20.7475, y -12.4825, z 496.921
 43061549 (1649) module 41, x -16.6775, y -10.0525, z 402.473
 40955753 (1568) module 39, x -13.3775, y -8.0725, z 325.525
 38851226 (1487) module 37, x -10.6825, y -6.4775, z 263.531
 36751021 (1405) module 35, x -9.6375, y -5.8175, z 238.531
 34650816 (1321) module 33, x -8.565, y -5.1575, z 213.531
 32550611 (1234) module 31, x -7.51083, y -4.53417, z 188.531
 30450663 (1154) module 29, x -6.4475, y -3.8925, z 163.531

Track #1, length 7
 54031437 (1981) module 51, x -30.9525, y 14.9175, z 750.469
 51946588 (1923) module 49, x -28.3125, y 14.0925, z 705.469
 49861482 (1865) module 47, x -25.7092, y 13.2858, z 660.469
 47776121 (1803) module 45, x -23.0875, y 12.4975, z 615.469
 45711263 (1736) module 43, x -16.1575, y 10.4075, z 496.921
 43640253 (1660) module 41, x -10.5475, y 8.7575, z 401.411
 41563096 (1586) module 39, x -6.1475, y  7.245, z 324.463

Track #2, length 12
 53804603 (1982) module 51, x -29.8775, y -24.3213, z 750.469
 51714397 (1924) module 49, x -28.0075, y -22.7675, z 705.469
 49624191 (1864) module 47, x -26.1375, y -21.255, z 660.469
 47533985 (1801) module 45, x -24.2675, y -19.77, z 615.469
 45455099 (1730) module 43, x -19.3175, y -15.8925, z 496.921
 43073861 (1650) module 41, x -15.3575, y -12.6925, z 402.473
 40964735 (1570) module 39, x -12.1675, y -10.1075, z 325.525
 38858158 (1490) module 37, x -9.5825, y  -7.99, z 263.531
 36757440 (1406) module 35, x -8.5925, y -7.1925, z 238.531
 34656721 (1322) module 33, x -7.6575, y -6.4225, z 213.531
 32555746 (1235) module 31, x -6.7225, y -5.5975, z 188.531
 30455028 (1155) module 29, x -5.7325, y -4.8275, z 163.531

Track #3, length 12
 54040386 (1983) module 51, x    -29, y 15.5225, z 750.469
 51951700 (1925) module 49, x -27.185, y 14.5325, z 705.469
 49863014 (1866) module 47, x -25.37, y 13.5425, z 660.469
 47774584 (1802) module 45, x -23.5275, y 12.5525, z 615.469
 45699239 (1731) module 43, x -18.7425, y 9.9675, z 496.921
 43620045 (1651) module 41, x -14.8925, y 7.8775, z 401.411
 41537515 (1571) module 39, x -11.7575, y 6.2275, z 324.463
 38798259 (1491) module 37, x  -9.28, y 4.9075, z 263.531
 36703430 (1408) module 35, x -8.2625, y  4.385, z 238.531
 34608856 (1323) module 33, x -7.245, y 3.8625, z 213.531
 32514283 (1237) module 31, x -6.2275, y 3.3125, z 188.531
 30419710 (1156) module 29, x -5.1825, y 2.7625, z 163.531

Track #4, length 7
 54056744 (1986) module 51, x -25.5075, y 16.925, z 750.469
 51967289 (1930) module 49, x -23.83, y 16.0175, z 705.469
 49877578 (1871) module 47, x -22.1525, y 15.0825, z 660.469
 47788378 (1807) module 45, x -20.4475, y 14.2025, z 615.469
 45712006 (1738) module 43, x -15.9925, y 11.7825, z 496.921
 43631529 (1659) module 41, x -12.4175, y   9.83, z 401.411
 41547718 (1577) module 39, x -9.5575, y 8.2625, z 324.463

Track #5, length 11
 53893260 (1987) module 51, x -25.395, y -5.1125, z 750.469
 51797671 (1929) module 49, x -23.91, y -4.7825, z 705.469
 49702082 (1870) module 47, x -22.425, y -4.4525, z 660.469
 47606238 (1806) module 45, x -20.9125, y -4.1775, z 615.469
 45127976 (1734) module 43, x -16.9525, y -3.3425, z 497.982
 43027811 (1654) module 41, x -13.68, y -2.6825, z 402.473
 40928149 (1574) module 39, x -10.9575, y  -2.16, z 325.525
 38828990 (1493) module 37, x -8.7025, y -1.6925, z 263.531
 36731087 (1409) module 35, x  -7.74, y -1.5275, z 238.531
 34632929 (1325) module 33, x -6.7775, y -1.335, z 213.531
 32535026 (1239) module 31, x -5.8425, y -1.1425, z 188.531

Track #6, length 11
 53911455 (1989) module 51, x -24.3775, y -1.2075, z 750.469
 51814586 (1931) module 49, x -22.8925, y -1.1525, z 705.469
 49717717 (1872) module 47, x -21.4075, y -1.0975, z 660.469
 47620847 (1808) module 45, x -19.95, y -1.0425, z 615.469
 45116472 (1737) module 43, x -16.0725, y -0.8675, z 497.982
 43018609 (1658) module 41, x -12.9375, y -0.7025, z 402.473
 40920991 (1576) module 39, x -10.4075, y -0.5925, z 325.525
 38823364 (1494) module 37, x -8.3725, y  -0.51, z 263.531
 36726227 (1411) module 35, x -7.5475, y -0.4825, z 238.531
 34628834 (1326) module 33, x -6.7225, y -0.4275, z 213.531
 32531441 (1238) module 31, x -5.8975, y -0.3725, z 188.531

Track #7, length 8
 54082226 (1991) module 51, x -19.9525, y 9.3625, z 750.469
 51991229 (1932) module 49, x -18.6325, y 8.7575, z 705.469
 49900489 (1873) module 47, x -17.2575, y 8.0975, z 660.469
 47809492 (1809) module 45, x -15.91, y 7.4925, z 615.469
 45729010 (1741) module 43, x -12.3625, y 5.8425, z 496.921
 42994351 (1663) module 41, x -9.5275, y 4.5225, z 402.473
 40902361 (1581) module 39, x -7.2175, y 3.4225, z 325.525
 38809339 (1500) module 37, x -5.3475, y  2.515, z 263.531

Track #8, length 7
 54095095 (1992) module 51, x -17.2025, y 5.5675, z 750.469
 52003582 (1933) module 49, x -15.9925, y 5.1825, z 705.469
 49284174 (1874) module 47, x -14.8625, y 4.8525, z 661.531
 47188835 (1810) module 45, x -13.68, y 4.4675, z 616.531
 45096091 (1744) module 43, x  -10.6, y 3.5325, z 497.982
 43002824 (1666) module 41, x -8.1525, y 2.7075, z 402.473
 40908780 (1585) module 39, x -6.1725, y 2.0475, z 325.525

Track #9, length 7
 54359675 (1993) module 51, x -15.6075, y 26.3575, z 751.531
 52259485 (1934) module 49, x -14.9475, y 24.4875, z 706.531
 50159039 (1875) module 47, x -14.2325, y 22.6175, z 661.531
 48058849 (1811) module 45, x -13.5725, y 20.7475, z 616.531
 45731646 (1742) module 43, x -11.7575, y 15.7425, z 496.921
 43641222 (1662) module 41, x -10.3275, y 11.7825, z 401.411
 41549248 (1578) module 39, x   -9.2, y 8.5925, z 324.463

Track #10, length 7
 53583210 (1995) module 51, x -13.3225, y -17.7525, z 751.531
 51480443 (1936) module 49, x -12.3875, y -16.5425, z 706.531
 49377676 (1877) module 47, x -11.4525, y -15.3325, z 661.531
 47274908 (1813) module 45, x -10.545, y -14.1225, z 616.531
 45162952 (1747) module 43, x -8.1525, y -10.9325, z 497.982
 43054315 (1668) module 41, x -6.2275, y -8.3475, z 402.473
 40563697 (1516) module 38, x -4.4125, y -5.8975, z 312.463

Track #11, length 14
 53661096 (1996) module 51, x -9.9125, y -34.5825, z 751.531
 51554482 (1937) module 49, x -9.335, y -32.5475, z 706.531
 49447869 (1878) module 47, x -8.7575, y -30.5125, z 661.531
 47341255 (1814) module 45, x -8.2075, y -28.4775, z 616.531
