Track #0, length 13
 54007327 (2842) module 51, x -36.1225, y  17.42, z 750.469
 51920435 (2733) module 49, x -33.895, y 16.3475, z 705.469
 49833798 (2620) module 47, x -31.6675, y 15.3025, z 660.469
 47746905 (2510) module 45, x -29.4675, y  14.23, z 615.469
 45676685 (2395) module 43, x -23.6925, y 11.3975, z 496.921
 43600822 (2289) module 41, x -19.0175, y 9.1425, z 401.411
 41521111 (2181) module 39, x -15.2775, y 7.3275, z 324.463
 39438065 (2064) module 37, x -12.2525, y   5.87, z 262.469
 37346556 (1940) module 35, x -11.0425, y 5.2925, z 237.469
 34604713 (1818) module 33, x -9.8575, y 4.7425, z 213.531
 32510399 (1700) module 31, x -8.6475, y 4.1375, z 188.531
 30416085 (1584) module 29, x -7.4375, y 3.5325, z 163.531
 28321771 (1469) module 27, x -6.2275, y 2.9275, z 138.531

Track #1, length 13
 54028442 (2843) module 51, x -31.6125, y 10.6825, z 750.469
 51940005 (2736) module 49, x -29.7425, y  10.05, z 705.469
 49851825 (2622) module 47, x -27.8175, y 9.4175, z 660.469
 47763645 (2512) module 45, x -25.8925, y 8.7575, z 615.469
 45689308 (2397) module 43, x -20.8875, y 7.0525, z 496.921
 43611125 (2292) module 41, x -16.8175, y 5.6775, z 401.411
 40896869 (2184) module 39, x -13.5975, y 4.5775, z 325.525
 38803860 (2068) module 37, x -11.0125, y 3.6975, z 263.531
 36708519 (1944) module 35, x  -9.94, y 3.3125, z 238.531
 34612923 (1823) module 33, x -8.8675, y 2.9825, z 213.531
 32517582 (1706) module 31, x -7.8225, y 2.5975, z 188.531
 30421985 (1590) module 29, x -6.7775, y 2.2675, z 163.531
 28326644 (1472) module 27, x -5.705, y 1.8825, z 138.531

Track #2, length 14
 53844050 (2844) module 51, x -28.6125, y -15.7825, z 750.469
 51751537 (2737) module 49, x -26.9075, y -14.7925, z 705.469
 49658767 (2624) module 47, x -25.2575, y -13.83, z 660.469
 47566254 (2514) module 45, x -23.5525, y -12.84, z 615.469
 45481469 (2400) module 43, x -19.2075, y -10.2275, z 496.921
 43053630 (2295) module 41, x -15.7425, y -8.2375, z 402.473
 40949104 (2186) module 39, x -12.9925, y -6.6425, z 325.525
 38846104 (2070) module 37, x -10.7742, y -5.41417, z 263.531
 36746921 (1945) module 35, x -9.8575, y -4.9375, z 238.531
 34647481 (1822) module 33, x -8.9775, y -4.4425, z 213.531
 32548297 (1705) module 31, x -8.0975, y -4.0025, z 188.531
 30449113 (1588) module 29, x -7.2175, y -3.5625, z 163.531
 28349673 (1466) module 27, x -6.3375, y -3.095, z 138.531
 26250489 (1350) module 25, x  -5.43, y -2.6275, z 113.531

Track #3, length 14
 54042724 (2845) module 51, x -28.505, y 13.6525, z 750.469
 51953266 (2738) module 49, x -26.8825, y 12.8825, z 705.469
