Track #0, length 12
 54453426 (2311) module 51, x -35.8475, y 23.3325, z 751.531
 52345549 (2226) module 49, x -33.5375, y 21.8475, z 706.531
 50237673 (2141) module 47, x -31.2275, y 20.3075, z 661.531
 47749639 (2062) module 45, x -28.8625, y 18.7675, z 615.469
 45680463 (1971) module 43, x -22.7575, y 14.8075, z 496.921
 43606152 (1882) module 41, x -17.8625, y 11.645, z 401.411
 41527222 (1784) module 39, x -13.9575, y 9.1425, z 324.463
 39444444 (1685) module 37, x -10.85, y 7.0525, z 262.469
 37353195 (1591) module 35, x -9.585, y 6.2275, z 237.469
 35261691 (1497) module 33, x -8.2925, y 5.3475, z 212.469
 32508380 (1408) module 31, x -7.0525, y   4.55, z 188.531
 30415348 (1316) module 29, x -5.7325, y 3.6975, z 163.531

Track #1, length 12
 54014404 (2312) module 51, x -34.6375, y 8.3725, z 750.469
 51926989 (2227) module 49, x -32.52, y 7.8775, z 705.469
 49839830 (2142) module 47, x -30.375, y 7.3825, z 660.469
 47752670 (2063) module 45, x -28.2575, y 6.9425, z 615.469
 45681652 (1972) module 43, x -22.5375, y 5.7325, z 496.921
 42993686 (1881) module 41, x -17.9425, y 4.6325, z 402.473
 40900955 (1783) module 39, x -14.1475, y 3.6975, z 325.525
 38807442 (1683) module 37, x -11.1225, y 2.9275, z 263.531
 36711593 (1589) module 35, x -9.8575, y  2.625, z 238.531
 34616000 (1495) module 33, x -8.5925, y  2.295, z 213.531
 32520406 (1406) module 31, x -7.3825, y  1.965, z 188.531
 30424813 (1314) module 29, x -6.1175, y  1.635, z 163.531

Track #2, length 9
 54442604 (2313) module 51, x -33.5375, y 27.1825, z 751.531
 52336009 (2228) module 49, x -31.5025, y 25.5875, z 706.531
 50229414 (2143) module 47, x -29.4675, y 23.9925, z 661.531
 48122820 (2065) module 45, x -27.4325, y 22.3425, z 616.531
 45683729 (1973) module 43, x -22.0425, y  18.19, z 496.921
 43606605 (1883) module 41, x -17.7525, y 14.9175, z 401.411
 41525888 (1782) module 39, x -14.2325, y 12.1125, z 324.463
 39441578 (1682) module 37, x -11.4825, y 9.8025, z 262.469
 37349563 (1587) module 35, x -10.355, y 8.8675, z 237.469

Track #3, length 12
 54033518 (2314) module 51, x -30.485, y 13.1025, z 750.469
 51945341 (2229) module 49, x -28.56, y 12.2775, z 705.469
 49857420 (2144) module 47, x -26.6075, y 11.4525, z 660.469
 47769243 (2066) module 45, x -24.6825, y 10.6275, z 615.469
 45695427 (1974) module 43, x -19.5675, y 8.4275, z 496.921
 43617251 (1885) module 41, x -15.47, y 6.6675, z 401.411
 41535741 (1787) module 39, x -12.1425, y 5.2375, z 324.463
 38801839 (1687) module 37, x -9.5275, y 4.1375, z 263.531
 36707010 (1593) module 35, x -8.4825, y 3.6425, z 238.531
 34611926 (1500) module 33, x -7.3825, y 3.2025, z 213.531
 32516841 (1409) module 31, x -6.3375, y  2.735, z 188.531
 30422013 (1320) module 29, x -5.2375, y 2.2675, z 163.531

Track #4, length 7
 53834582 (2315) module 51, x -28.3925, y -17.8175, z 750.469
 51742583 (2230) module 49, x -26.5775, y -16.7175, z 705.469
 49650840 (2145) module 47, x -24.7625, y -15.5625, z 660.469
 47558841 (2067) module 45, x -22.9475, y -14.4625, z 615.469
 45165584 (1976) module 43, x -18.2725, y -11.5375, z 497.982
 43057237 (1887) module 41, x -14.4775, y  -9.09, z 402.473
 40951437 (1788) module 39, x -11.3975, y -7.1375, z 325.525

Track #5, length 16
 53924218 (2316) module 51, x -26.385, y 1.5425, z 750.469
 51826835 (2231) module 49, x -25.0375, y 1.4875, z 705.469
