Track #0, length 7
 54016515 (2523) module 51, x -34.1425, y 18.9875, z 750.469
 51934492 (2430) module 49, x -30.87, y 17.6125, z 705.469
 49852468 (2331) module 47, x -27.625, y 16.2925, z 660.469
 47770700 (2227) module 45, x -24.3525, y 14.945, z 615.469
 45713036 (2135) module 43, x -15.7725, y 11.425, z 496.921
 43647680 (2041) module 41, x -8.8425, y 8.5925, z 401.411
 41576426 (1945) module 39, x  -3.26, y 6.2825, z 324.463

Track #1, length 13
 54434397 (2524) module 51, x -31.7775, y 28.0075, z 751.531
 52328316 (2431) module 49, x -29.8525, y 26.3025, z 706.531
 50222235 (2330) module 47, x -27.9275, y 24.5975, z 661.531
 48116154 (2226) module 45, x -26.0025, y 22.8925, z 616.531
 45689102 (2128) module 43, x -20.8875, y 18.355, z 496.921
 43611216 (2025) module 41, x -16.7625, y 14.7525, z 401.411
 41529477 (1917) module 39, x -13.4625, y 11.8375, z 324.463
 39444656 (1813) module 37, x -10.8225, y 9.4725, z 262.469
 37352385 (1704) module 35, x  -9.75, y 8.5375, z 237.469
 35259858 (1600) module 33, x -8.6775, y 7.6025, z 212.469
 33167587 (1498) module 31, x -7.6325, y 6.6675, z 187.469
 31075572 (1398) module 29, x -6.5325, y  5.705, z 162.469
 28313080 (1299) module 27, x -5.5125, y 4.7975, z 138.531

Track #2, length 10
 53835849 (2525) module 51, x -29.1075, y -17.5425, z 750.469
 51744365 (2432) module 49, x -27.1275, y -16.3325, z 705.469
 49652624 (2333) module 47, x -25.175, y -15.1775, z 660.469
 47560884 (2229) module 45, x -23.2225, y -13.995, z 615.469
 45162770 (2131) module 43, x -18.1625, y -10.9325, z 497.982
 43054429 (2032) module 41, x -14.0375, y -8.4025, z 402.473
 40948121 (1926) module 39, x -10.71, y -6.4225, z 325.525
 38843594 (1824) module 37, x -8.0425, y -4.8275, z 263.531
 36743389 (1716) module 35, x  -6.97, y -4.1675, z 238.531
 34643185 (1611) module 33, x -5.8975, y -3.5075, z 213.531

Track #3, length 13
 53754959 (2526) module 51, x -28.7775, y -35.0325, z 750.469
 51667823 (2433) module 49, x -27.0175, y -32.8875, z 705.469
 49580687 (2332) module 47, x -25.2575, y -30.7425, z 660.469
 47493551 (2228) module 45, x -23.4975, y -28.5975, z 615.469
 45219076 (2129) module 43, x -18.905, y -23.0325, z 497.982
 43100744 (2027) module 41, x -15.165, y -18.4675, z 402.473
 40986495 (1921) module 39, x -12.1675, y -14.7825, z 325.525
 38875563 (1817) module 37, x -9.7475, y -11.84, z 263.531
 36773053 (1707) module 35, x -8.7575, y -10.6575, z 238.531
 34670287 (1602) module 33, x -7.7675, y -9.4475, z 213.531
 32568032 (1500) module 31, x -6.805, y -8.265, z 188.531
