Track #0, length 13
 54452777 (1864) module 51, x -35.7375, y 30.8675, z 751.531
 52345420 (1790) module 49, x -33.5375, y 28.9425, z 706.531
 50237807 (1717) module 47, x -31.2825, y  26.99, z 661.531
 48130451 (1645) module 45, x -29.0825, y 25.0375, z 616.531
 46006255 (1578) module 43, x -23.17, y 19.9775, z 497.982
 43603772 (1509) module 41, x -18.3575, y 15.8525, z 401.411
 41524344 (1435) module 39, x -14.5625, y 12.5525, z 324.463
 39441576 (1359) module 37, x -11.4458, y 9.89417, z 262.469
 37350332 (1283) module 35, x -10.2175, y 8.8125, z 237.469
 35258575 (1209) module 33, x  -8.98, y 7.7675, z 212.469
 33167075 (1132) module 31, x -7.7425, y 6.6675, z 187.469
 31075830 (1047) module 29, x -6.4775, y 5.6225, z 162.469
 28314108 (963) module 27, x -5.2925, y 4.5775, z 138.531

Track #1, length 13
 54014107 (1865) module 51, x -34.6925, y 10.6275, z 750.469
 51926951 (1791) module 49, x -32.5475, y 9.9675, z 705.469
 49839795 (1719) module 47, x -30.375, y 9.3075, z 660.469
 47752896 (1647) module 45, x -28.2025, y 8.5925, z 615.469
 45681632 (1579) module 43, x -22.51, y 6.8325, z 496.921
 43606009 (1510) module 41, x -17.9175, y   5.43, z 401.411
 40898137 (1436) module 39, x -14.2575, y 4.3025, z 325.525
 38805391 (1360) module 37, x -11.2875, y 3.3675, z 263.531
 36709797 (1284) module 35, x -10.0775, y   3.01, z 238.531
 34614459 (1210) module 33, x -8.8675, y 2.6525, z 213.531
 32519121 (1133) module 31, x -7.6575, y 2.2675, z 188.531
 30423527 (1048) module 29, x -6.4475, y 1.9375, z 163.531
 28328189 (964) module 27, x  -5.21, y 1.5525, z 138.531

Track #2, length 17
 54444860 (1866) module 51, x -34.0325, y 29.8225, z 751.531
 52339288 (1792) module 49, x -32.2358, y 28.2642, z 706.531
 50233973 (1718) module 47, x -30.4575, y 26.6875, z 661.531
 48128657 (1646) module 45, x -28.6975, y 25.1475, z 616.531
 46009564 (1576) module 43, x -23.995, y 21.0225, z 497.982
 43595290 (1505) module 41, x -20.145, y 17.7225, z 401.411
 41512523 (1428) module 39, x -17.0925, y 15.0275, z 324.463
 39426930 (1350) module 37, x -14.6175, y 12.8825, z 262.469
 37334402 (1275) module 35, x -13.6275, y 12.0025, z 237.469
 35241874 (1200) module 33, x -12.6375, y 11.1225, z 212.469
 33149346 (1122) module 31, x -11.6475, y 10.2425, z 187.469
 31056817 (1035) module 29, x -10.6208, y 9.39917, z 162.469
 28964545 (952) module 27, x -9.6125, y 8.5375, z 137.469
